english,translate
You sound very busy. I'll let you get back to work.,"Звучит так, будто ты очень занят. Не буду отвлекать от работы."
You sound...introspective.,Ты звучишь... задумчиво.
You spotted me right away. That's impressive. Most just look right past me. I wonder how you are in combat. Care to spar?,"Ты сразу меня приметил. Впечатляет. Большинство просто проходит мимо. Интересно, как ты покажешь себя в бою. Хочешь спарринг?"
"You stand before the mighty Mestergruff. Also called by some, Tinchef Mennerheim.",Ты стоишь перед могучим Mestergruff. Некоторые также называют его Tinchef Mennerheim.
"You stand in the ruins of the city of Rin. I'm the foreman here, supervising the excavation.","Ты стоишь в руинах города Rin. Я здесь прораб, руковожу раскопками."
You stand over here by me and give Volden the signal. Then he hurls a keg over. He's TERRIBLY NEARSIGHTED. Be ready to (hiccup) run around.,Встань здесь рядом со мной и подай сигнал Volden. Тогда он бросит бочонок. У него УЖАСНОЕ ЗРЕНИЕ. Будь готов (ик) бегать вокруг.
"You still have Branded streaming down from Ascalon, to the north?","У вас все ещё текут потоки Branded из Ascalon, что на севере?"
"You stood up for your beliefs, and you were killed for them.","Ты отстаивал свои убеждения, и тебя убили за них."
You strange shrimp to talk to ettins. You want something from ettins?,"Ты странная креветка, раз говоришь с эттинами. Тебе что-то нужно от эттинов?"
"You stuck here, too? I was just walking down the road, and the weirdest hyena I ever saw jumped out and bit me in the leg! I kid you not, this creature was glowing! It was so strange.","Ты тоже здесь застрял? Я просто шёл по дороге, как вдруг выскочила самая странная гиена, которую я когда-либо видел, и укусила меня за ногу! Не шучу, это существо светилось! Это было так странно."
"You suffered a grievous wound, one that cuts deep even after death.","Ты получил тяжёлую рану, такую, что глубоко режет даже после смерти."
You sure are confident.,Ты очень уверен в себе.
"You sure didn't pull any punches with the Svanir, %str1%! It's been frustrating not being able to act while scouting. I have some items to barter that might help you even more.","Ты определенно не сдерживался в бою с Svanir, %str1%! Было так неприятно не иметь возможности действовать во время разведки. У меня есть товары на обмен, которые могут помочь тебе ещё больше."
You sure helped out a lot around here. I guess that warrants a thank you. So there it is.,"Ты очень помог нам здесь. Думаю, это заслуживает благодарности. Вот, держи."
"You sure it wasn't ""nom-nom-nom-urp""?","Ты уверен, что это не было «ням-ням-ням-урп»?"
"You sure know a thing or two about making ghosts go poof, %str1%. Keep up the good work.","Ты точно знаешь толк в том, как заставить призраков исчезнуть, %str1%. Продолжай в том же духе."
"You sure know how to brighten a girl's day. Sure, the centaur raids leave all sorts of odds and ends around the farms. Take a look.","Ты умеешь поднять девушке настроение. Конечно, после набегов кентавров на фермах остается всякая всячина. Взгляни."
"You sure know how to put the fade to ghosts, %str1%. Keep up the good work.","Ты точно знаешь, как заставить призраков побледнеть, %str1%. Продолжай в том же духе."
"You sure know how to take the starch out of ghosts, %str1%. Keep up the good work.","Ты точно знаешь, как выбить дурь из призраков, %str1%. Продолжай в том же духе."
You sure know your stuff! I feel better already.,Ты и правда мастер своего дела! Мне уже лучше.
You sure seem smarter in groups.,"Вы, ребята, кажетесь умнее, когда собираетесь в группы."
You sure that's not just the weather?,"Ты уверен, что это не просто погода?"
"You sure took your time getting that work done. I have to learn to scale down my expections expectations, apparently.","Ты, конечно, не торопился с выполнением этой работы. Видимо, мне нужно научиться занижать свои ожидания."
You sure you'll stick to that?,"Ты уверен, что сдержишь слово?"
"You survived, and that's what's important right now.","Ты выжил, и это сейчас самое главное."
