english,translate
"Combine 3 Mini Baron von Scrufflebutts in the Mystic Forge with a Pile of Crystalline Dust, an Obsidian Shard, and a Gift of Ascension.","Объедините 3 Мини-барона фон Скрэбблбаттса в Mystic Forge с Горой кристаллической пыли, Осколком обсидиана и Gift of Ascension."
"Combine 3 Mini Professor Mews in the Mystic Forge with a Pile of Crystalline Dust, an Obsidian Shard, and an Amber Quantic Dipole (dropped by creatures in scale 1–20 fractals).","Объедините 3 Мини-профессора Мьюза в Mystic Forge с Горой кристаллической пыли, Осколком обсидиана и Янтарным квантическим диполем (выпадает с существ в масштабе 1–20 фракталов)."
"Combine 3 Minis of Mister Mittens in the Mystic Forge with a Pile of Crystalline Dust, an Obsidian Shard, and an Azure Denaturizing Agent (dropped by creatures in scale 21–50 fractals).","Объедините 3 Мини-мистера Миттенса в Mystic Forge с Горой кристаллической пыли, Осколком обсидиана и Azure Denaturizing Agent (выпадает с существ в масштабе 21–50 фракталов)."
"Combine Charitable Gift Skritt minis, Wintersday Gifts, Flawless Snowflakes, and an Essence of Skrittish Charity in the Mystic Forge to make a Mini Munificent Gift Skritt.","Объедините миниатюры Милостивого дара скриттов, Подарки Зимнего дня, Безупречные снежинки и Сущность скриттской благотворительности в Mystic Forge, чтобы создать Мини-щедрый дар скриттов."
"Combine Gift Skritt minis, Candy Canes, Flawless Snowflakes, and an Essence of Skrittish Charity in the Mystic Forge to make a Mini Charitable Gift Skritt.","Объедините миниатюры Дара скриттов, Леденцы, Безупречные снежинки и Сущность скриттской благотворительности в Mystic Forge, чтобы создать Мини-милостивый дар скриттов."
Complete Convergence: Mount Balrior with gold timing for all encounters with challenge mode active.,Завершите Схождение: Mount Balrior с золотым временем для всех встреч с активным режимом испытания.
Complete the Old Tom collection.,Complete the Old Tom collection.
Complete the Spirit of the Tiger achievement.,Complete the Spirit of the Tiger achievement.
Create in the Mystic Forge with mini snowballs.,Create in the Mystic Forge with mini snowballs.
Create in the Mystic Forge with mini tiny snowballs.,Create in the Mystic Forge with mini tiny snowballs.
Created by combining 3 Mini Black Llamas in the Mystic Forge with an Essence of Llamatic Elegance.,Создано объединением 3 Мини-Чёрных Лам в Mystic Forge с Эссенцией Ламматической Элегантности.
Created by combining 3 Mini Bronze Llamas with an Essence of Llamatic Elegance in the Mystic Forge.,Создано объединением 3 Мини-Бронзовых Лам с Эссенцией Ламматической Элегантности в Mystic Forge.
Created by combining 3 Mini Elegant Black Llamas in the Mystic Forge with an Essence of Llamatic Elegance.,Создано объединением 3 Мини-Элегантных Чёрных Лам в Mystic Forge с Эссенцией Ламматической Элегантности.
