english,translate
A Day in Kryta,День в Крайте
A magnificent depiction of the Spirit of Raven.,Великолепное изображение Духа Ворона.
A simple commemoration of a momentous event.,Простое напоминание о знаменательном событии.
A simple remembrance of a fallen comrade.,Простое воспоминание о павшем товарище.
A simple sign for directing passersby.,Простой знак для направления прохожих.
Academic Light,Академический свет
Academic Wall,Академическая стена
Academic Wall with Windows,Академическая стена с окнами
Access the Guild Initiative's central office in Lion's Arch.,Получите доступ к центральному офису Гильдии в Lion's Arch.
Aetherblade Hideout Banner,Знамя убежища Эфирных клинков
Aetherium Capacity 1,Вместимость эфирия 1
Aetherium Capacity 2,Вместимость эфирия 2
Aetherium Capacity 3,Вместимость эфирия 3
Aetherium Capacity 4,Вместимость эфирия 4
Aetherium Capacity 5,Вместимость эфирия 5
Aetherium Capacity 6,Вместимость эфирия 6
Airship Defense,Оборона дирижабля
Antique Bell,Старинный колокол
Arena Brawling: Free-for-All Fighters,Арена: Бойцы «каждый сам за себя»
Arena Brawling: Green Team,Арена: Зелёная команда
Arena Brawling: Invulnerable Fighters,Арена: Неуязвимые бойцы
Arena Restoration 1,Восстановление арены 1
Arena Restoration 2,Восстановление арены 2
Arena Ring-Out Barrier,Барьер вылета с арены
Armor Stand,Стойка для доспехов
Armored Dolyaks,Бронированные дольяки
Arrow Cart Blueprints,Чертежи стреломёта
Arrow Cart Siege,Осадный стреломет
Ascalonian Lamp,Аскалонская лампа
Ascalonian Pillar,Аскалонская колонна
Ascalonian Tree,Аскалонское дерево
Astral Ward Door,Дверь Астральной стражи
Astral Ward Gate,Врата Астральной стражи
Astral Ward Orb Stand,Подставка для сферы Астральной стражи
Astral Ward Pillar,Колонна Астральной стражи
Astral Ward Square Floor,Квадратный пол Астральной стражи
Astral Ward Staircase,Лестница Астральной стражи
Astral Ward Tiled Circular Platform,Круглая плиточная платформа Астральной стражи
Astral Ward Wall,Стена Астральной стражи
Asuran Summit Banner,Знамя «Асурская вершина»
Asuran Summit Flag,Флаг «Асурская вершина»
