english,translate
Reach the far end of the trap-filled hallway.,"Доберись до дальнего конца коридора, полного ловушек."
Reach the stranded tank crew.,Доберитесь до экипажа застрявшего танка.
Read Almorra's letter,Прочитать письмо Almorra
Read Trahearne's letter.,Прочитайте письмо Trahearne.
Read Zojja's letter.,Прочитай письмо Zojja.
Read the letter from Gixx.,Прочитай письмо от Gixx.
Read the letter from your sire.,Прочитайте письмо от вашего отца.
Read the mysterious message.,Прочитать таинственное послание.
"Ready for action, old friend! And let me add that I'm truly flattered you're even considering me as your second. Let me at 'em! I'm at the top of my game!","Готов к действию, старый друг! И позвольте добавить, что я искренне польщен тем, что вы вообще рассматриваете меня в качестве секунданта. Дайте мне добраться до них! Я в лучшей форме!"
Ready the Caer for an upcoming attack.,Подготовить Caer к грядущей атаке.
Ready the seed-plant defenses.,Подготовьте оборону из семенных растений.
"Ready to go, boss! Want me to meet you outside the junkyard?","Готов к выходу, босс! Хочешь, чтобы я встретил тебя у свалки?"
"Ready, %str1%? The Raven Havroun Weibe should be in this cave.","Готов, %str1%? Havroun Raven Weibe должен быть в этой пещере."
"Ready, Savant %str1%? Let's find Plunka and make her tell us what we want to know.","Готовы, Savant %str1%? Давайте найдём Plunka и заставим её рассказать нам то, что мы хотим знать."
"Really, Sir Winters. Lord Faren is my friend. I could never let them keep him.","Ну что вы, сэр Winters. Лорд Faren — мой друг. Я бы никогда не позволил им оставить его у себя."
"Really, you must be joking.","Ты, должно быть, шутишь."
Really? Thanks! And good luck. Maybe one day the skaalds will sing about our victories.,"Правда? Спасибо! И удачи. Может, однажды скальды будут петь о наших победах."
"Really? Then you are in the wrong place and the wrong line of work, my friend.","Правда? Тогда ты не в том месте и не на той работе, друг мой."
Really? You're surrounded by happy people having fun. Grab some for yourself!,"Правда? Ты окружен счастливыми людьми, которые отлично проводят время. Налей и себе!"
"Recall our escapade in the bandit cave, and your suspicion that a minister might be pulling their strings? You're in luck, because I've confirmed said suspicion.","Помнишь нашу вылазку в пещеру бандитов и твое подозрение, что кто-то из министров дергает их за ниточки? Тебе повезло, я подтвердил это подозрение."
Receive mission intelligence from Riel.,Получите разведданные от Riel.
Receive the judge's decision.,Получите решение судьи.
Recover Sabiti's head as proof.,Забери голову Sabiti в качестве доказательства.
Recover the Deldrimor steel,Верни сталь Deldrimor
Recover the Sonic Harmonizer.,Верните Sonic Harmonizer.
Recover the artifact.,Верни артефакт.
