english,translate
Tamini Sword,Tamini Sword
Tamini Torch,Tamini Torch
Tang Dye,Tang Dye
Tangerine Dye,Tangerine Dye
Tangle Weed,Tangle Weed
Tangled Depths Tiger Refuge Sign,Tangled Depths Tiger Refuge Sign
Tangled Depths: Commander's Choice Chest,Tangled Depths: Commander's Choice Chest
Tangled Depths: Hero's Choice Chest,Tangled Depths: Hero's Choice Chest
Tangled Net,Tangled Net
Tanglewood Wings Backpack,Tanglewood Wings Backpack
Tanglewood Wings Backpack and Glider Combo,Tanglewood Wings Backpack and Glider Combo
Tapestry of Sacrifice,Tapestry of Sacrifice
Tapestry Shred,Tapestry Shred
Tar Dye,Tar Dye
Tar Elemental Core,Tar Elemental Core
Tar Flakes,Tar Flakes
Tar Removal Tool,Tar Removal Tool
Tar-Bound Spell Book,Tar-Bound Spell Book
Tarff Breastplate,Tarff Breastplate
Tarff Garb,Tarff Garb
Tarff Leather Coat,Tarff Leather Coat
Target Painter,Target Painter
Target Painter Trap,Target Painter Trap
Targeted Rescue,Targeted Rescue
Tarnish Dye,Tarnish Dye
Tarnished Brass Compass,Tarnished Brass Compass
Tarnished Bronze Astrolabe,Tarnished Bronze Astrolabe
Tarnished Chain Armor,Tarnished Chain Armor
Tarnished Chain Chausses,Tarnished Chain Chausses
Tarnished Chain Greaves,Tarnished Chain Greaves
Tarnished Coast Weapon Skins Box,Tarnished Coast Weapon Skins Box
Tarnished Coin,Tarnished Coin
Tarnished Compass,Tarnished Compass
Tarnished Hewer,Tarnished Hewer
Tarnished Key,Tarnished Key
Tarnished Kournan Coin,Tarnished Kournan Coin
Tarnished Memory Crystal,Tarnished Memory Crystal
Tarnished Seal,Tarnished Seal
Tarnished Silver Dye,Tarnished Silver Dye
Tarnished Silver Sextant,Tarnished Silver Sextant
Taro Dye,Taro Dye
Tarragon Leaves,Tarragon Leaves
Tarragon Seed Pouch,Tarragon Seed Pouch
Tarragon Stuffed Poultry,Tarragon Stuffed Poultry
Tarrktun Personal Delivery Portal,Tarrktun Personal Delivery Portal
Tarstar Gauntlets,Tarstar Gauntlets
Tarstar Gloves,Tarstar Gloves
Tarstar Handwraps,Tarstar Handwraps
Tarstar Longbow,Tarstar Longbow
Task Item,Задание
"Task item. Give it to raptors as a tasty treat, or put it in the food baskets for Aksim to use later.","Предмет задания. Дайте его ящерам как вкусное угощение или положите в корзины с едой, чтобы Аксим использовал позже."
"Task item. Give it to raptors as a tasty treat, or put it in the food baskets for Aksim to use later. Seems gross, but hey, they like it.","Предмет для выполнения задания. Дайте его рапторам в качестве вкусного угощения или положите в корзины с едой, чтобы Аксим использовал их позже. Может, это и выглядит отвратительно, но им нравится."
Task item. Maybe the choya chef would want it.,"Предмет для выполнения задания. Возможно, шеф-повар Чойя захочет его."
Tassi's Relay Golem,Tassi's Relay Golem
Taste of Instant World Experience,Taste of Instant World Experience
Taste of Liquid Karma,Taste of Liquid Karma
Tasteless Root,Tasteless Root
Tasty Bat Wing,Tasty Bat Wing
Tasty Cake,Tasty Cake
Tasty Carrot,Tasty Carrot
Tasty Chak Legs,Tasty Chak Legs
Tasty Devourer Carapace,Tasty Devourer Carapace
Tasty Dried Bark,Tasty Dried Bark
Tasty Dried Carapace,Tasty Dried Carapace
Tasty Dried Cat's Paw,Tasty Dried Cat's Paw
Tasty Dried Eel,Tasty Dried Eel
Tasty Dried Flower,Tasty Dried Flower
Tasty Dried Hoof,Tasty Dried Hoof
Tasty Dried Shark,Tasty Dried Shark
Tasty Golden Carrot,Tasty Golden Carrot
Tasty Herb,Tasty Herb
Tasty Karka Leg,Tasty Karka Leg
Tasty Kryptis Skin,Tasty Kryptis Skin
Tasty Meat,Tasty Meat
Tasty Minotaur Flank,Tasty Minotaur Flank
Tasty Moss-Covered Bark,Tasty Moss-Covered Bark
Tasty Ooze-Cured Meat,Tasty Ooze-Cured Meat
Tasty Skale Fin,Tasty Skale Fin
Tasty Skelk Liver,Tasty Skelk Liver
Tasty Spider Leg,Tasty Spider Leg
Tasty Trail Ration,Tasty Trail Ration
Tasty Wurm Segment,Tasty Wurm Segment
Tasty Wyvern Wing,Tasty Wyvern Wing
Tateos's Armor Chest,Tateos's Armor Chest
Tateos's Breastplate,Tateos's Breastplate
Tateos's Breeches,Tateos's Breeches
Tateos's Cleric Insignia,Tateos's Cleric Insignia
Tateos's Cloth Breather,Tateos's Cloth Breather
Tateos's Doublet,Tateos's Doublet
Tateos's Epaulets,Tateos's Epaulets
Tateos's Footwear,Tateos's Footwear
Tateos's Greaves,Tateos's Greaves
Tateos's Grips,Tateos's Grips
Tateos's Guise,Tateos's Guise
Tateos's Leather Breather,Tateos's Leather Breather
Tateos's Leggings,Tateos's Leggings
Tateos's Masque,Tateos's Masque
Tateos's Metal Breather,Tateos's Metal Breather
Tateos's Pauldrons,Tateos's Pauldrons
Tateos's Shoulderguard,Tateos's Shoulderguard
Tateos's Striders,Tateos's Striders
Tateos's Tassets,Tateos's Tassets
Tateos's Visage,Tateos's Visage
Tateos's Visor,Tateos's Visor
Tateos's Warfists,Tateos's Warfists
Tateos's Wristguards,Tateos's Wristguards
Tattered Awakened Garment,Tattered Awakened Garment
Tattered Bat Wing,Tattered Bat Wing
Tattered Centaur Cloth,Tattered Centaur Cloth
Tattered Hide,Tattered Hide
Tattered Journal,Tattered Journal
Tattered Kodan Flag,Tattered Kodan Flag
Tattered Letter,Tattered Letter
Tattered Note,Tattered Note
Tattered Pelt,Tattered Pelt
Tattered Scroll,Tattered Scroll
Tattered Slade Pirate Flag,Tattered Slade Pirate Flag
Taupe Dye,Taupe Dye
Tea Shade Dye,Tea Shade Dye
Teaches the crafting recipe for all weights of this armor.,Обучает рецепту создания этой брони для всех типов веса.
Teal Bloom,Teal Bloom
Teal Branded Mist,Teal Branded Mist
Teal Dye,Teal Dye
Teal Petal,Teal Petal
Tear of Grenth,Tear of Grenth
Tear of Jahai,Tear of Jahai
Teatime Focus Skin,Teatime Focus Skin
Technomagical Detector,Technomagical Detector
Technomancy Blueprint,Technomancy Blueprint
Teleport to Friend,Teleport to Friend
Tempered Scale Chestplate,Tempered Scale Chestplate
Tempered Scale Gauntlets,Tempered Scale Gauntlets
Tempered Scale Greaves,Tempered Scale Greaves
Tempered Scale Helm,Tempered Scale Helm
Tempered Scale Legs,Tempered Scale Legs
Tempered Scale Pauldrons,Tempered Scale Pauldrons
Tempered Spinal Blades,Tempered Spinal Blades
Tempered Spinal Blades (Infused),Tempered Spinal Blades (Infused)
Tempest Axe Skin,Tempest Axe Skin
Tempest Cape,Tempest Cape
Tempest Dagger Skin,Tempest Dagger Skin
Tempest Focus Skin,Tempest Focus Skin
Tempest Gaze Helm Skin,Tempest Gaze Helm Skin
Tempest Greatsword Skin,Tempest Greatsword Skin
Tempest Hammer Skin,Tempest Hammer Skin
Tempest Longbow Skin,Tempest Longbow Skin
Tempest Mace Skin,Tempest Mace Skin
Tempest Pistol Skin,Tempest Pistol Skin
Tempest Rifle Skin,Tempest Rifle Skin
Tempest Scepter Skin,Tempest Scepter Skin
Tempest Shield Skin,Tempest Shield Skin
Tempest Short Bow Skin,Tempest Short Bow Skin
