english,translate
Recipe[s]: Raven Totem,[Рецепт|Рецепта|Рецептов]: тотем ворона
Recipe[s]: Rec Room Floor Tile,[Рецепт|Рецепта|Рецептов]: напольная плитка для комнаты отдыха
Recipe[s]: Reclamation,[Рецепт|Рецепта|Рецептов]: рекультивация
Recipe[s]: Recycler: Bloodstone Dust,[Рецепт|Рецепта|Рецептов]: переработчик: Пыль кровавого камня
Recipe[s]: Recycler: Dragonite Ore,[Рецепт|Рецепта|Рецептов]: переработчик: Драконитовая руда
Recipe[s]: Recycler: Empyreal Fragments,[Рецепт|Рецепта|Рецептов]: переработчик: Эмпирейные осколки
Recipe[s]: Recycler: Jade Slivers,[Рецепт|Рецепта|Рецептов]: переработчик: Осколки нефрита
Recipe[s]: Recycler: Karma,[Рецепт|Рецепта|Рецептов]: переработчик: Карма
Recipe[s]: Red Lentil and Flatbread Feast,[Рецепт|Рецепта|Рецептов]: пир с красной чечевицей и лепёшками
Recipe[s]: Red Lentil Saobosa,[Рецепт|Рецепта|Рецептов]: саобоса из красной чечевицы
Recipe[s]: Red-Eye Maul (Level 31),[Рецепт|Рецепта|Рецептов]: Молот Красного глаза (Ур. 31)
Recipe[s]: Red-Eye Maul (Level 55),[Рецепт|Рецепта|Рецептов]: Молот Красного глаза (Ур. 55)
Recipe[s]: Refined Envoy Boots,[Рецепт|Рецепта|Рецептов]: улучшенные сапоги посланника
Recipe[s]: Refined Envoy Breastplate,[Рецепт|Рецепта|Рецептов]: Улучшенный нагрудник посланника
Recipe[s]: Refined Envoy Cowl,[Рецепт|Рецепта|Рецептов]: Улучшенный капюшон посланника
Recipe[s]: Refined Envoy Gauntlets,[Рецепт|Рецепта|Рецептов]: улучшенные наручи посланника
Recipe[s]: Refined Envoy Gloves,[Рецепт|Рецепта|Рецептов]: улучшенные перчатки посланника
Recipe[s]: Refined Envoy Greaves,[Рецепт|Рецепта|Рецептов]: улучшенные наголенники посланника
Recipe[s]: Refined Envoy Helmet,[Рецепт|Рецепта|Рецептов]: Улучшенный шлем посланника
Recipe[s]: Refined Envoy Jerkin,[Рецепт|Рецепта|Рецептов]: усовершенствованная куртка посланника
Recipe[s]: Refined Envoy Leggings,[Рецепт|Рецепта|Рецептов]: усовершенствованные поножи посланника
Recipe[s]: Refined Envoy Mantle,[Рецепт|Рецепта|Рецептов]: усовершенствованная мантия посланника
Recipe[s]: Refined Envoy Mask,[Рецепт|Рецепта|Рецептов]: усовершенствованная маска посланника
Recipe[s]: Refined Envoy Pants,[Рецепт|Рецепта|Рецептов]: усовершенствованные штаны посланника
Recipe[s]: Refined Envoy Pauldrons,[Рецепт|Рецепта|Рецептов]: усовершенствованные наплечники посланника
Recipe[s]: Refined Envoy Shoes,[Рецепт|Рецепта|Рецептов]: усовершенствованные ботинки посланника
Recipe[s]: Refined Envoy Shoulderpads,[Рецепт|Рецепта|Рецептов]: усовершенствованные оплечья посланника
Recipe[s]: Refined Envoy Tassets,[Рецепт|Рецепта|Рецептов]: усовершенствованные набедренники посланника
Recipe[s]: Refined Envoy Vambraces,[Рецепт|Рецепта|Рецептов]: усовершенствованные наручи посланника
Recipe[s]: Refined Envoy Vestments,[Рецепт|Рецепта|Рецептов]: усовершенствованное облачение посланника
Recipe[s]: Reinforced Boreal Trunk,[Рецепт|Рецепта|Рецептов]: укреплённый бореальный ствол
Recipe[s]: Rejuvenating Intricate Cotton Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния омолаживающего из хлопка
Recipe[s]: Rejuvenating Intricate Wool Insignia,[Рецепт|Рецепта|Рецептов]: искусная инсигния омолаживающего из шерсти
Recipe[s]: Rejuvenating Iron Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная железная гравировка омолаживающего
Recipe[s]: Rejuvenating Steel Imbued Inscription,[Рецепт|Рецепта|Рецептов]: пропитанная стальная гравировка омолаживающего
Recipe[s]: Relic of Altruism,[Рецепт|Рецепта|Рецептов]: реликвия альтруизма
Recipe[s]: Relic of Durability,[Рецепт|Рецепта|Рецептов]: реликвия прочности
Recipe[s]: Relic of Evasion,[Рецепт|Рецепта|Рецептов]: реликвия уклонения
Recipe[s]: Relic of Fire,[Рецепт|Рецепта|Рецептов]: реликвия огня
Recipe[s]: Relic of Fireworks,[Рецепт|Рецепта|Рецептов]: реликвия фейерверков
Recipe[s]: Relic of Ice,[Рецепт|Рецепта|Рецептов]: реликвия льда
Recipe[s]: Relic of Leadership,[Рецепт|Рецепта|Рецептов]: реликвия лидерства
Recipe[s]: Relic of Mercy,[Рецепт|Рецепта|Рецептов]: реликвия милосердия
Recipe[s]: Relic of Speed,[Рецепт|Рецепта|Рецептов]: реликвия скорости
Recipe[s]: Relic of Surging,[Рецепт|Рецепта|Рецептов]: реликвия прилива
Recipe[s]: Relic of the Adventurer,[Рецепт|Рецепта|Рецептов]: реликвия искателя приключений
Recipe[s]: Relic of the Aristocracy,[Рецепт|Рецепта|Рецептов]: реликвия аристократии
Recipe[s]: Relic of the Cavalier,[Рецепт|Рецепта|Рецептов]: реликвия кавалериста
Recipe[s]: Relic of the Centaur,[Рецепт|Рецепта|Рецептов]: реликвия кентавра
Recipe[s]: Relic of the Chronomancer,[Рецепт|Рецепта|Рецептов]: реликвия хрономанта
Recipe[s]: Relic of the Deadeye,[Рецепт|Рецепта|Рецептов]: реликвия меткого стрелка
Recipe[s]: Relic of the Defender,[Рецепт|Рецепта|Рецептов]: реликвия защитника
Recipe[s]: Relic of the Dragonhunter,[Рецепт|Рецепта|Рецептов]: реликвия охотника на драконов
Recipe[s]: Relic of the Eagle,[Рецепт|Рецепта|Рецептов]: реликвия орла
Recipe[s]: Relic of the Earth,[Рецепт|Рецепта|Рецептов]: реликвия земли
Recipe[s]: Relic of the Firebrand,[Рецепт|Рецепта|Рецептов]: реликвия пламенного стража
Recipe[s]: Relic of the Golemancer,[Рецепт|Рецепта|Рецептов]: реликвия големанта
