english,translate
Talk to Rox.,Поговори с Rox.
Talk to Rytlock about the summit.,Обсуди с Rytlock саммит.
Talk to Rytlock when you're ready to begin.,"Поговорите с Rytlock, когда будете готовы начать."
Talk to Rytlock.,Поговори с Rytlock.
Talk to Sabinus Reignfire.,Поговорите с Sabinus Reignfire.
Talk to Sayida about the fog that has rolled in.,Поговорить с Sayida о нахлынувшем тумане.
Talk to Scientist Quickk.,Поговори с Scientist Quickk.
Talk to Scout Tornn.,Поговорите с Scout Tornn.
Talk to Taccius Stormbane.,Поговорите с Taccius Stormbane.
Talk to Taimi about her work.,Поговорите с Taimi о её работе.
Talk to Taimi again.,Снова поговори с Taimi.
Talk to Taimi.,Поговорите с Тайми.
Talk to Valeria to find out what she knows about Kurzick magic.,"Поговорите с Valeria, чтобы узнать, что ей известно о магии Kurzick."
Talk to Waiting Sorrow.,Поговорите с Waiting Sorrow.
"Talk to Woomulla, the quaggan conservationist.","Поговорите с Woomulla, защитником квагганов."
Talk to a researcher to find Taimi.,"Поговорите с исследователем, чтобы найти Taimi."
"Talk to me about this door, Braham. How do we get it open?","Поговори со мной об этой двери, Braham. Как нам её открыть?"
Talk to the Adventure Aide ZK496i golem in Rata Sum.,Поговорите с големом Adventure Aide ZK496i в Rata Sum.
Talk to the Blood and Ash Legion reps.,Поговори с представителями Blood и Ash Legion.
Talk to the Priory arcanist.,Поговорите с арканистом Priory.
Talk to the Shatter Warband members to hear their memories and perspectives on Cinder.,"Поговорите с членами Отряда Осколка, чтобы услышать их воспоминания и взгляды на Синдер."
Talk to the Vigil medic.,Поговорите с медиком Дозора.
Talk to the dredge.,Поговори с дреджами.
Talk to the dwarf.,Поговорите с дворфом.
Talk to the gate attendant.,Поговори с распорядителем врат.
Talk to the ghost of Captain Grumby.,Поговорите с призраком Captain Grumby.
Talk to the magister.,Поговорите с магистром.
Talk to the messenger.,Поговорите с гонцом.
Talk to the residents of the nearby town.,Поговори с жителями близлежащего города.
Talk to the sanctuary leaders: a kodan and a quaggan.,Поговори с лидерами святилища: Kodan и Quaggan.
Talk to the seer about getting cold protection.,Поговорите с провидцем о получении защиты от холода.
Talk to the townspeople of Prosperity.,Поговори с горожанами Prosperity.
Talk to your allies.,Поговорите со своими союзниками.
Talk to your friends and learn about the attacks.,Поговори со своими друзьями и узнай об атаках.
Talk to your friends.,Поговорите со своими друзьями.
Talk with Braham.,Поговорите с Braham.
Talk with Caithe.,Поговори с Caithe.
Talk with Crecia.,Поговори с Crecia.
Talk with Ellen Kiel about the attack.,Поговорите с Ellen Kiel об атаке.
Talk with Marjory.,Поговорите с Marjory.
Talk with Rox and Braham.,Поговорите с Rox и Braham.
Talk with Stoic Alder.,Поговорите с Stoic Alder.
Talk with Taimi.,Поговорите с Taimi.
Talk with the Luminate.,Поговорите с Luminate.
