english,translate
"""Advance!""",«Вперёд!»
"""Aftershock!""",«Афтершок!»
"""Brace Yourselves!""",«Держитесь!»
"""Chilled to the Bone!""",«Леденящий холод!»
"""Fear Me!""",«Бойтесь меня!»
"""Feel My Wrath!""",«Почувствуйте мой гнев!»
"""Feel the Burn!""",«Почувствуйте жар!»
"""Find Their Weakness!""",«Найдите их слабость!»
"""Flash-Freeze!""",«Мгновенная заморозка!»
"""For Great Justice!""",«Во имя справедливости!»
"""Guard!""",«Защищай!»
"""Hold the Line!""",«Держать строй!»
"""Never Surrender!""",«Никогда не сдаваться!»
"""On My Mark!""",«По моей команде!»
"""On Your Knees!""",«На колени!»
"""Protect Me!""",«Защити меня!»
"""Rebound!""",«Рикошет!»
"""Receive the Light!""",«Примите свет!»
"""Rise!""",«Восстаньте!»
"""Save Yourselves!""",«Спасайтесь!»
"""Stand Your Ground!""",«Стоять насмерть!»
"""Suffer!""",«Страдайте!»
"""To the Limit!""",«На пределе!»
"""We Shall Return!""",«Мы вернемся!»
((996787)),((996787))
1 second,1 секунда
50 to All Attributes,50 ко всем атрибутам
75 to All Attributes,75 ко всем атрибутам
A.E.D.,A.E.D.
Abrasive Grit,Абразивная стойкость
Absolute Resolve,Абсолютная решимость
Abyssal Chill,Бездонный холод
Acceptance of the Kodan,Принятие Коданов
Acolyte of Torment,Послушник мучений
Acrobatics,Акробатика
Activate Lesser Utility Goggles after using a healing skill.,Вы активируете Lesser Utility Goggles при использовании исцеляющего умения.
Activating your elite skill breaks stuns.,Активация вашего элитного навыка снимает оглушение.
Additional Affinity,Дополнительное сродство
Additional Astral Force per Damage,Дополнительная астральная сила за урон
Additional Casts,Дополнительные применения
Additional Condition Damage,Дополнительный урон от состояний
Additional Ferocity,Дополнительная свирепость
Additional Mirror Blade Bounces,Дополнительные отскоки «Зеркального клинка»
Additional Poison Stacks,Дополнительные заряды яда
Additional Power,Дополнительная сила
Additional Precision,Дополнительная точность
Addle,Одурманивание
Adrenal Health,Адреналиновое здоровье
Adrenal Implant,Адреналиновый имплант
Adrenaline Restored,Адреналин восстановлен
Adroit Evasion,Ловкое уклонение
Advanced Hydrodynamics,Продвинутая гидродинамика
Advancing Strike,Наступательный удар
Aegis,Эгида
Aegis grants boons when it ends.,"Эгида даёт дары, когда заканчивается."
Aegis heals when it blocks an attack.,Эгида исцеляет при блокировании атаки.
Aerial Agility,Воздушная ловкость
Aeromancer's Training,Тренировка аэроманта
Affinity Gain,Получение сродства
Afterburner,Форсаж
Aggressive Arrival,Агрессивное прибытие
Aggressive Onslaught,Агрессивный натиск
Agonizing Rune,Мучительная руна
Agonizing Swipe,Мучительный взмах
Aid of the Water Djinn,Помощь Водяного джинна
Aim-Assisted Rocket,Ракета с наведением
Air,Воздух
Air Blast,Воздушный взрыв
Air Bubble,Воздушный пузырь
Air Pocket,Воздушный карман
Alacrity,Алакрити
Alchemic Vigor,Алхимическая бодрость
Alchemy,Алхимия
All Stats Inherited by Mech,Все характеристики наследуются мехом
All damage dealt is increased while you have fury.,"Увеличивает весь наносимый вами урон, пока у вас есть дар Ярости."
All damage dealt is increased.,Весь наносимый урон увеличен.
All for One,Один за всех
All's Well That Ends Well,"Все хорошо, что хорошо кончается"
Allied Duration,Длительность для союзников
Allies' Aid,Помощь союзникам
Ally Superspeed Radius,Радиус сверхскорости для союзников
Alpha Focus,Альфа-фокус
Altered Chord,Измененный аккорд
Altruistic Aspect,Альтруистический аспект
Altruistic Healing,Альтруистическое исцеление
Amalgam,Амальгама
Ambidexterity,Амбидекстрия
Ambush,Засада
Ambush Assault,Засадная атака
Ambush Attack Window,Окно засадной атаки
Ambush Commander,Засадный Коммандир!
Amnesty of Shing Jea,Амнистия Шинг-Джеа
Amplified Siphoning,Усиленное высасывание
Amplified Wrath,Усиленный гнев
Amplifying Slice,Усиливающий разрез
Ancestral Grace,Милость предков
Anchor,Якорь
Ancient Echo,Древнее эхо
Angler Sense,Чутьё рыболова
Angsiyan's Trust,Доверие Ангсияна
Anguish Swipe,Удар мучения
Anguished Bolt,Болт мучения
Anguished Wail,Вопль мучения
Annihilate,Аннигиляция
Anticorrosion Plating,Антикоррозийное покрытие
Antiquary,Антикварий
Antivenom Draught,Противоядие
Antivenom Draught: Backfired,Противоядие: Обратный эффект
Any aura you grant yourself is granted to nearby allies.,"Любые ауры, которые вы накладываете на себя, накладываются и на союзников поблизости."
Applied Force,Приложенная сила
Applying might to an ally heals you.,Дарование Мощи союзникам исцеляет вас.
Aqua Jet,Водная струя
Aqua Siphon,Водный сифон
Aqua Surge,Водный всплеск
Aquamancer's Training,Обучение Акваманта
Aquatic Assassin,Водный убийца
Aquatic Aura,Водная аура
Aquatic Barrage,Водный заградительный огонь
Aquatic Burst,Водный взрыв
Aquatic Detainment,Водное удержание
Aquatic Domain,Водная область
Aquatic Slash,Водный удар
Aquatic Stance,Водная стойка
Aquatic Vortex,Водный вихрь
Arc Detonator,Дуговой детонатор
Arc Divider,Дуговой рассекатель
Arc Lightning,Дуговая молния
Arcane Blast,Магический взрыв
Arcane Brilliance,Магическое сияние
Arcane Echo,Магическое эхо
Arcane Lightning,Магическая молния
Arcane Precision,Магическая точность
Arcane Prowess,Магическое мастерство
Arcane Restoration,Магическое восстановление
Arcane Resurrection,Магическое воскрешение
Arcane Thievery,Магическое воровство
Arcane Wave,Магическая волна
Archivist of Whispers,Архивариус Шёпотов
Arcing Affliction,Дуговое поражение
Arcing Arrow,Дуговая стрела
Arcing Jade,Дуговой нефрит
Arcing Mists,Дуговой туман
Arcing Slice,Дуговой разрез
Armor of Earth,Доспех земли
Armored Shroud,Бронированный саван
Arms,Оружие
Arrows inflict burning.,Стрелы накладывают горение.
Artillery Slash,Артиллерийский удар
Ashen Assault,Пепельный штурм
Ashen Blast,Пепельный взрыв
Ashen Demeanor,Пепельный облик
Assassin's Fury,Ярость убийцы
Assassin's Presence,Присутствие убийцы
Assassin's Reward,Награда убийцы
Assassin's Signet,Печать ассасина
Astral Amenities,Астральные удобства
Astral Force per Damage,Астральная сила за урон
Astral Force per Heal,Астральная сила за исцеление
Astral Surge,Астральный всплеск
Astral Wisp,Астральный огонёк
"At maximum, charges gain a burst of power.",При достижении максимума заряды дают всплеск силы.
"At maximum, charges gain a burst of speed.",При достижении максимума заряды дают всплеск скорости.
Attack of Opportunity,Атака по возможности
Attacker's Insight,Проницательность атакующего
Attribute Conversion,Преобразование атрибутов
Attribute Increase per Instrument,Увеличение атрибутов за инструмент
Attuning Stance,Настраивающая стойка
Aura Slicer,Рассекатель ауры
Auras you grant also grant regeneration and vigor.,Накладываемые вами ауры также даруют Регенерацию и Энергичность.
Auras you grant to allies also grant protection.,"Ауры, которые вы даёте союзникам, также даруют Протекцию."
Aurora Beam,Луч Авроры
Auspicious Anguish,Благоприятная мука
Autodefense Bomb Dispenser,Автоматический распределитель бомб
Automated Medical Response,Автоматическая медицинская помощь
Automatic Fire,Автоматический огонь
Avalanche,Лавина
Avatar of Lyssa,Аватар Lyssa
Awaken the Pain,Пробуждение боли
Awakened Soldier Swing,Взмах пробуждённого солдата
Axe Mastery,Мастерство владения топором
Axe Proficiency,Владение топором
Axes of Symmetry,Топоры симметрии
Backbreaker,Сломанный хребет
Backhand,Удар тыльной стороной ладони
Backstab,Удар в спину
Balance in Discord,Баланс в раздоре
Balanced Strike,Сбалансированный удар
Balthazar's Flame,Пламя Balthazar
Bandage,Бинт
Bandage Blast,Взрыв перевязки
Bandage Self,Самоперевязка
Bandit's Defense,Защита бандита
Bane Signet,Печать погибели
Banish,Изгнание
Banish Enchantment,Изгнание чар
Banished,Изгнан
Banner Effect Improvement,Улучшение эффекта знамени
Banshee's Wail,Вопль банши
Barbed Precision,Колючая точность
Barbed Pull,Колючий рывок
Barbed Spear,Колючее копьё
Barrage,Заградительный огонь
Barrens Survey Result Augmentation,Улучшение результатов исследования Пустошей
Barrier Signet,Печать барьера
Barrier Smash,Разрушение барьера
Barrier on First Hit,Барьер при первом ударе
Base Lingering Duration,Базовая длительность эффекта
Base Power,Базовая сила
Base duration increased by 1 second.,Базовая длительность увеличена на 1 секунду.
Baseline Percentage,Базовый процент
Bash,Удар
Basic Skill Recharge,Перезарядка базового навыка
Basilisk Venom,Яд василиска
Battering Slash,Сокрушающий удар
Battle Dance,Боевой танец
Battle Presence,Боевое присутствие
Battle Roar,Боевой рык
Battle Scarred,Боевой шрам
Battle Scars,Боевые шрамы
Bayonet Thrust,Удар штыком
Be Quick or Be Killed,Убей или умри
Beaming Smile,Сияющая улыбка
Bear Stance,Стойка медведя
Bearkin Harvesting Techniques,Техники сбора урожая медвежат
