english,translate
Thunderhorns Waypoint,Путевая точка Громовых рогов
Thundertroll Swamp,Болото Громотролля
Tidal Tailgate,Приливный заслон
Tideland Outlet,Приливный сток
Tiger Den,Логово тигра
Tihark Orchard,Фруктовый сад Тихарк
Tikitecki Scratch,Царапина Тикитеки
Tilly's Encampment,Лагерь Тилли
Timber Cave,Лесная пещера
Timberland Holt,Лесной приют
Timberline Falls,Тимберлайн-Фоллс
Time for a Promotion,Время для повышения
Titan Research,Исследование титанов
Titan's Pass,Проход титанов
Titan's Perch,Насест титанов
Titan's Staircase,Лестница титанов
Titan's Staircase Waypoint,Путевая точка Лестницы титанов
Titan's Throat,Глотка титана
Titan's Vestibule,Вестибюль титанов
Titanpaw Crossroads,Перекрёсток Титанпау
Tixx's Infinirarium,Инфинирариум Тиккса
To Kill a God,Убить бога
To the Core,К ядру
Toade's Head,Голова Тоада
Toade's Head Waypoint,Путевая точка Головы Тоада
Toadstool Mire,Топкое Болото
Togatl Grounds,Земли Тогатла
Tokk's Mill,Мельница Токка
Tomb of Blackpowder,Гробница Чёрного Пороха
Tomb of Morlog,Гробница Морлога
Tomb of Stoneskin,Гробница Каменной Кожи
Tomb of the Abandoned,Гробница Забытых
Tomb of the Confessors,Гробница Исповедников
Tomb of the Primeval Kings,Гробница Первородных Королей
Tongue Rock,Скала Языка
Toppled Monument,Поваленный Монумент
Toran Hollow,Лощина Торана
Toran Hollow Waypoint,Путевая точка Лощины Торана
Torment's Watch,Дозор Мучений
Torn from the Sky,Сорванные с небес
Torpor Tavern,Таверна «Оцепенение»
Torstvedt Homestead Waypoint,Путевая точка у усадьбы Торстведт
Tournament Battlegrounds,Турнирные поля боя
Tower Courtyard Waypoint,Путь к башне
Tower Down,Башня пала
Tower of Nightmares,Башня кошмаров
Tower of Nightmares Waypoint,Путевая точка Башни Кошмаров
Tower of Secrets: Southern Wizard's Tower,Башня Тайн: Южная Башня Волшебника
Tower of the Third,Башня Третьего
Towering Links,Возвышающиеся звенья
Town of Cathal Waypoint,Путевая точка города Катал
Town of Cowlfang's Star Waypoint,Путевая точка города Звезда Коулфанга
Town of Nageling,Город Нагелинг
Town of Nolan,Город Нолан
Town of Prosperity,Город Просперити
Town Outskirts,Окраина города
Township of Claypool,Поселение Клэйпул
Toxal Bog,Болото Токсал
Toxic Pools,Токсичные топи
Toymaker's Airship Waypoint,Путевая точка Дирижабля Игрушечника
Toypocalypse,Игрушечный апокалипсис
Track the Seraph,Выследить Серафимов
Tracking the Aspect Masters,По следам Мастеров Аспектов
Tracking the Scientist,По следам ученого
Trade Commons,Торговый квартал
Trade Commons Waypoint,Путевая точка Торгового квартала
Trader's Forum,Форум Торговцев
Trader's Forum Waypoint,Путевая точка Форума Торговцев
Trader's Green,Зелень Торговца
Trading Trickery,Торговые хитрости
Trail of Cinder,Тропа Пепла
Trainer's Terrace,Терраса Тренеров
Training Grounds,Тренировочная площадка
Training Pavilion,Тренировочный павильон
Training Platform,Тренировочная платформа
Tranquil Falls,Безмятежные водопады
Tranquil Glen,Безмятежная роща
Tranquil Overlook,Безмятежный обзор
Tranquil Refuge,Тихая гавань
Transcendent Bay,Трансцендентный залив
Transcendent Falls,Трансцендентные водопады
Transfer Gate (Private),Передающая дверь (личная)
Transformer Hub Kachong,Узел трансформаторов Качонг
Trapper's Labyrinth,Лабиринт охотника
Travelen's Steading,Усадьба Травелена
Travelen's Waypoint,Путевая точка Травелена
Traveler's Dale,Долина путника
Traveler's Dale Waypoint,Путь к Долине Путешественника
Traveler's Loft,Чердак путника
Treacherous Path Waypoint,Путевая точка Коварной тропы
Treacherous Paths,Коварные тропы
Treacherous Vents,Коварные отдушины
Treachery: Nayos,Предательство: Найос
Treadrock Uplands,Нагорье Тредрок
Trebuchet Bend,Излучина требушетов
Trebusha's Overlook Waypoint,Путь к смотровой площадке Требуша
Tree of Many Faces,Древо многих лиц
Tree of Mourning,Древо скорби
Tree of Solitude,Древо одиночества
Treemarch Estuary,Эстуарий Тримарч
Trial and Error: Durmand Priory,Метод проб и ошибок: Приорат Дурманда
Trial and Error: Janthir Syntri,Метод проб и ошибок: Джантир Синтри
Trial and Error: The Wizard's Tower,Метод проб и ошибок: Башня Волшебника
Tribulation Caverns,Пещеры страданий
Tribulation Rift,Разлом страданий
Tribulation Waypoint,Путевая точка страданий
Tribunes in Effigy,Трибуны в виде чучел
Tribunes' Trench,Траншея трибунов
Triforge Point Waypoint,Путь к Трифоржу
Trionic Lattice,Трионическая решетка
Triskell Quay,Причал Трискелл
Triskellion Vale,Долина Трискеллион
Triumph Plaza,Площадь Триумфа
Troll's Tailgate,Задворки тролля
Troll's Teeth,Зубы тролля
Tromigar Valley,Долина Тромигар
Troop Quarters,Казармы
Troopmarshal's Encampment,Военный лагерь военачальника
Trouble at Fort Salma,Беда в форте Сальма
Trouble at the Roots,Беда у корней
Truths Unearthed: Guarded Glades,Раскрытые истины: Охраняемые поляны
Tumok's Last Stand,Последний рубеж Тумока
Tumok's Waypoint,Путевая точка Тумока
Tumultuous Sea,Бурное море
Tundra Steppe,Тундровая степь
Tunnel Access Alpha,Доступ к туннелю Альфа
Tunnel Access Beta,Доступ к туннелю Бета
Tunnel Access Delta,Доступ к туннелю Дельта
Tunnel Access Epsilon,Доступ к туннелю Эпсилон
Tunnel Access Gamma,Доступ к туннелю Гамма
Tunnel of Respite,Туннель передышки
Tunnels Waypoint,Путь через туннели
Tunwatch Redoubt Waypoint,Путевая точка Редута Тунвотч
Turnabout,Разворот
Turtle Pen,Загон для черепах
Tuyere Command Post Waypoint,Путевая точка Командного поста Тьюер
Twice Stricken: Hearth's Glow,Дважды пораженные: Сияние очага
Twice Stricken: Landfall,Дважды пораженные: Высадка
Twilight Arbor,Сумеречная беседка
Twilight Arbor Waypoint,Путевая точка Сумеречной беседки
Twilight Oasis,Сумеречный оазис
Twilight of the Wolf,Сумерки волка
Twin Geysers,Двойные гейзеры
Twin Sisters Crossing,Переправа сестёр-близнецов
Twin Sisters Waypoint,Путевая точка Сестёр-близнецов
Twin Skulls,Двойные черепа
Twinspur Haven Waypoint,Путевая точка Приюта Твинспер
Twisted Castle,Искаженный замок
Twisted Cathedral,Искаженный собор
Twisting Hollows,Извилистые лощины
Twisting Viaduct,Извилистый виадук
Twoheaded Meadows,Двуглавые луга
Twoloop Waypoint,Путевая точка Тволуп
Tyler's Bivouac Waypoint,Путь к лагерю Тайлера
Tyrant's Mount,Гора тирана
Tyria (Surface),Тирия (поверхность)
Tyrulu Sea,Море Тирулу
Tytone Perch,Насест Тайтона
Tytone Perch Reactor,Реактор насеста Тайтона
Tzanopl Grounds,Земли Цанопла
Uhiwi's Bones,Кости Ухиви
Ulta Metamagicals Waypoint,Путь Ульты Метамагических Искусств
Ulukk's Hunger,Голод Улукка
Umberglade Mill,Мельница Амберглейд
Umberglade Woods,Умберглейдские леса
Umbral Battlegrounds,Теневые поля сражений
Umbral Grotto,Теневой грот
Unbroken Expanse,Несломленный простор
Uncategorized Fractal,Некатегоризированный фрактал
Undead Detection,Обнаружение нежити
Undead Infestation,Заражение нежитью
Under Siege,В осаде
Underbelly Waypoint,Путевая точка Андербелли
Underburg,Андербург
Undercroft Waypoint,Путевая точка Андеркрофт
Underground Facility Fractal,Фрактал Подземного комплекса
Underground Scholar,Подземный ученый
Undergrowth Connector,Соединитель подлеска
Unending Nightmares,Бесконечные кошмары
Unending Ocean,Бесконечный океан
Unexpected Visitors,Нежданные гости
Unguent Den,Мазевая нора
Unholy Grounds,Нечестивые земли
Union Waypoint,Путевая точка Союза
United Arcanist Lab,Лаборатория объединенных арканистов
United Legions Base Camp,Базовый лагерь Объединенных легионов
United Legions Forward Camp,Передовой лагерь Объединенных легионов
Unity's Beacon,Маяк Единства
Unknown Territory: Moon Camp,Неизведанная территория: Лунный лагерь
Unscheduled Delay,Незапланированная задержка
Unscheduled Departures: Rata Sum Port Authority,Незапланированные отправления: Портовое управление Рата Сум
Unscheduled Departures: Shipwreck Strand,Незапланированные отправления: Берег кораблекрушений
Unscheduled Departures: The Unending Ocean,Незапланированные отправления: Бесконечный океан
Unswept Uplands,Неубранные возвышенности
Untamed Crags,Дикие утесы
Untamed Wilds,Неукрощенные дебри
Unwaking Waters,Непросыпающиеся воды
