english,translate
That would be the wind.,Это ветер.
"That would be well advised. Good-bye, probably forever. So sad.","Это было бы разумно. Прощай, вероятно, навсегда. Так печально."
That would be...lovely. Did you have a spot in mind?,Было бы замечательно. У вас есть какие-нибудь идеи?
"That would certainly be a sight... But, say, did I... Did I see him...? Is he here now?","Это было бы зрелище... Но скажите, я... Я видела его?.. Он здесь?"
That would cut out travel time and circumvent a TON of enemy forces.,Это сократило бы время в пути и позволило бы обойти МАССУ вражеских сил.
That would explain the Minotaur spirit's rage. No wonder his children are attacking any hunter they see.,"Это объясняет ярость Minotaur Spirit. Неудивительно, что его дети нападают на любого охотника, которого видят."
That would help. The Slayer of Issormir on my side could make all the difference. You should stop by some time and have a pint. My treat.,Это бы помогло. Slayer of Issormir на моей стороне — это все меняет. Заглядывай как-нибудь на пинту. За мой счёт.
That would look like a Sunspear declaration of war no matter who was responsible.,"Это будет выглядеть как объявление войны от лица Sunspear, независимо от того, кто за этим стоит."
That would probably solve your problem. Good-bye.,"Это, вероятно, решило бы твою проблему. Прощай."
That would seem to have minimized the grawl threat for the moment.,"Похоже, это свело угрозу grawl к минимуму на данный момент."
That would upset the current system.,Это нарушило бы текущий порядок.
That wouldn't surprise me.,Это меня бы не удивило.
That wurm has scuttled my experiments for the last time. Time to power up the golem and eradicate!,Этот червь в последний раз сорвал мои эксперименты. Пора зарядить голема и уничтожить его!
That you all with join us in battle now or join us in death.,Что вы все присоединитесь к нам в битве сейчас или присоединитесь к нам в смерти.
That you can't guarantee the safety of my scholars and explorers. Don't worry: our people can handle themselves.,Что вы не можете гарантировать безопасность моих ученых и исследователей. Не волнуйтесь: наши люди могут постоять за себя.
"That you do, buddy. But we've got one last thing on our agenda. The Preceptors have asked to see you.","Это точно, приятель. Но у нас осталось одно последнее дело. Наставники хотят тебя видеть."
That you have suffered no unreasonable bodily harm during your arrest and detainment.,Что вы не подвергались необоснованному физическому насилию во время ареста и содержания под стражей.
That you know what choosing you over the warband cost me. And you feel guilty about being so snotty to me beforehand.,"То, что ты знаешь, чего мне стоил выбор в твою пользу вместо отряда. И ты чувствуешь вину за то, что был таким заносчивым со мной до этого."
That young norn's ability to make it all the way to my office without being stopped is a sign of just how distracted we are with this refugee and Flame Legion situation. We need to get this under control.,"Тот факт, что эта юная норн смогла добраться до моего кабинета, не будучи остановленной, говорит о том, насколько мы отвлечены на проблему с беженцами и Наследием Пламени. Нам нужно взять ситуацию под контроль."
"That young norn's ability to make it all the way to my office without being stopped is a sign of just how distracted we are. I've got refugees in every corner of the Citadel, I have nothing to spare.","То, что этот юный норн смог добраться до моего кабинета, не будучи остановленным, говорит о том, насколько мы отвлечены. У меня беженцы в каждом углу Цитадели, мне некого выделить."
That! Get these DERVs to the field in pristine condition. I want them so shiny I can see my back teeth in them.,"Вот именно! Доставьте эти DERV на поле в идеальном состоянии. Хочу, чтобы они блестели так, чтобы я видел в них свои зубы."
That'd be Lord Faren. He's a good friend. I'll check in with him once I'm fully recovered. What should I do now?,"Это Lord Faren. Он хороший друг. Я свяжусь с ним, как только полностью поправлюсь. Что мне делать теперь?"
"That'd be Morwen, the cook. You can find him near the center of camp. He'll be the only thing growling louder than my stomach. Hey...if you see him, get me something to eat?","Это к Morwen, повару. Найдёшь его в центре лагеря. Он будет единственным, кто урчит громче моего желудка. Эй... если увидишь его, принесешь мне чего-нибудь поесть?"
"That'd be Sasha, my sister. She's been running around town, looking for the Seraph captain. When I asked her what was wrong, she said she had overheard some pirate fellow saying concerning things.","Это моя сестра, Sasha. Она бегала по городу в поисках капитана Seraph. Когда я спросил, что случилось, она сказала, что подслушала, как какой-то пират говорил тревожные вещи."
That'd be a mistake. Using force to stop her would put us at odds with the Sun God's other spokesperson and erase the benefit we just earned from the tournament.,"Это было бы ошибкой. Применение силы против неё настроит против нас другого представителя Бога Солнца и сведет на нет всю выгоду, которую мы только что получили от турнира."
"That'd be a nice change, considering all of your kind started going nuts.","Это было бы приятным изменением, учитывая, что все ваши сородичи начали сходить с ума."
"That'd be amazing, Commander! Be careful, and let me know what you find!","Это было бы потрясающе, Коммандир! Будь осторожен и дай мне знать, что найдёшь!"
That'd be great if you could do that!,"Было бы здорово, если бы вы смогли это сделать!"
That'd be great. We're a small expeditionary squad.,Было бы здорово. Мы небольшой экспедиционный отряд.
That'd be mighty kind of you. I'd be happy to direct you.,Это было бы очень любезно с вашей стороны. Я с радостью укажу вам путь.
That'd be my friend Quinn. You might want to check your supply cabinets. I'll find out what he wanted once I'm fully recovered. What should I do now?,"Это, должно быть, мой друг Quinn. Тебе стоит проверить свои шкафы с припасами. Я выясню, что ему было нужно, как только полностью поправлюсь. Что мне делать теперь?"
"That'd be my friends, Andrew and Petra. I'll have to go see them once I'm fully recovered. What should I do now?","Это, должно быть, мои друзья, Andrew и Petra. Я навещу их, как только полностью поправлюсь. Что мне делать теперь?"
That'll attract spirits like bees to honey!,"Это привлечет духов, как пчел на мед!"
That'll be Two-Blade's thugs. They'll be here any minute now. Get ready.,Это прихвостни Two-Blade. Они будут здесь с минуты на минуту. Приготовься.
That'll be fine as it is!,Так будет в самый раз!
That'll buy you time to get the sample and keep more of the researches alive long enough to talk to them.,"Это даст вам время, чтобы получить образец и сохранить больше образцов для исследований, что позволит дольше общаться с ними."
That'll change now that we're here.,"Теперь, когда мы здесь, это изменится."
"That'll do it, great! All the metal's prepped and ready for forging. Appreciate the hand.","Вот так, отлично! Весь металл подготовлен и готов к ковке. Спасибо за помощь."
That'll do it. Let's get underway.,Сойдёт. Давайте приступим.
That'll do the trick.,Это сработает.
That'll do! Bring it here!,Пойдёт! Неси сюда!
"That'll fade once the wind picks up. In the meantime, enjoy the sweet smell of victory.","Она выветрится, как только поднимется ветер. А пока наслаждайся сладким запахом победы."
"That'll fill the belly of a bearkin, it will.","Этого хватит, чтобы набить брюхо медведю, точно хватит."
That'll give that wrinkled old husk some sleepless nights. (deep breath) Ah. NOW my work in Rata Novus is done.,Это заставит этого сморщенного старика не спать всю ночь. (глубокий вдох). Ага. Теперь моя работа в Рата-Новус завершена.
"That'll give these local yokels something to talk about. When they get tired of talking about snow and boredom, that is.","Это даст местным деревенщинам тему для разговоров. Когда им надоест говорить о снеге и скуке, конечно."
That'll hurt both gangs. Clever. I'm on it!,Это ударит по обеим бандам. Хитро. Я берусь!
That'll keep them off our backs for awhile. HAH!,Это задержит их на какое-то время. ХА!
That'll send Scarlet the message: you can't hide from Lion's Arch justice.,Это пошлёт Скарлет сообщение: ей не скрыться от правосудия Львиной Арки.
That'll show 'em! Now let's get to work.,Это их проучит! А теперь за работу.
That'll show 'em. We'll be setting sail again in no time!,Это их проучит. Мы скоро снова отправимся в путь!
That'll take us back to the main hall.,Это вернет нас в главный зал.
That'll teach me to eat mystery mushrooms.,"Нужно было знать, что будет, если есть загадочные грибы."
That'll teach me to eat untrustworthy toadstools.,"Нужно было знать, что нельзя есть сомнительные грибы."
That'll teach them to burgle my brews! Hmph!,Это научит их грабить мои варева! Хм!
"That'll teach those dragon-kissers a thing or two. Now, there's a nice, warm campfire waiting for us. Let's move!","Это проучит этих драконопоклонников. А теперь нас ждет приятный, тёплый костер. Погнали!"
That'll teach you to kidnap your betters!,"Это научит вас похищать тех, кто лучше вас!"
That'll teach you.,Это вас проучит.
"That'll work for her minions, but the door doesn't look breakable. We're going to need an alternative. Maybe portals?","Это сработает для её приспешников, но дверь не выглядит ломаемой. Нам нужна альтернатива. Может, порталы?"
That'll work! Come on!,Пойдёт! Давай!
"That's ""Tribune"" to you, soldier.","Для тебя — «трибун», солдат."
That's Aurene!,Это Aurene!
That's Binna? So this is...real?,"Это Binna? Значит, это... правда?"
That's Blood audacity and Iron ingenuity. Good times.,Это дерзость Кровавого легиона и изобретательность Железного. Хорошие времена.
"That's Caithe for you. Tell me, is this the bridge you remember?","Это же Caithe. Скажи мне, это тот самый мост, который ты помнишь?"
"That's Chibb, a former krewemate of mine. Looks like he hasn't been dead for long, poor thing.","Это Чибб, мой бывший товарищ по команде. Похоже, он не так давно умер, бедняга."
"That's Chibb, a former krewemate of mine. Looks like he hasn't been dead long, poor thing.","Это Чибб, мой бывший товарищ по команде. Похоже, он не так давно умер, бедняга."
"That's Flax's lab manager. A real pushover, right?","Это менеджер лаборатории Flax. Настоящая размазня, да?"
That's Glint. She's talking about Destiny's Edge.,Это Glint. Она говорит о Destiny's Edge.
"That's Gorrik. Still weird. But, Commander, you gotta help him and Blish.","Это Gorrik. Все ещё странный. Но, Коммандир, ты должен помочь ему и Blish."
"That's Greeza from my old krewe! Though she looks different—never mind, just keep her safe.","Это же Гриза из моей старой команды! Хотя она выглядит иначе... неважно, просто позаботьтесь о ней."
"That's Imperator Smodur, soldier, the high commander of the whole Iron Legion. The Iron Legion rules the Black Citadel—Blood and Ash are here to help us reclaim our ancient homeland of Ascalon, but Smodur's the top brass.","Это император Smodur, солдат, верховный командующий всего Железного легиона. Железный легион правит Чёрной цитаделью — Кровавый и Пепельный легионы здесь, чтобы помочь нам вернуть нашу древнюю родину Ascalon, но Smodur — главное начальство."
"That's Joko? Good gods, he's insane!","Это Joko? Боги, он безумен!"
"That's Kormir! She blessed me at birth, but I never thought I'd—hail to you, Goddess of Truth.","Это же Kormir! Она благословила меня при рождении, но я никогда не думал, что... приветствую тебя, Богиня Истины."
That's Pete's strong suit. Good luck.,Это сильная сторона Pete. Удачи.
That's Qadim? What the flux has he become?,Это Кадим? Во что же он превратился?
That's Styrr Frostblade. A frostbitten Son of Svanir. He calls himself a dragon shaman. What a joke.,Это Styrr Frostblade. Обмороженный Son of Svanir. Называет себя шаманом дракона. Смешно.
"That's Taimi, and I'm a friend. We're here to help.","Это Taimi, я друг. Мы здесь, чтобы помочь."
That's Vigil HQ? It doesn't look like it needs much more in the way of defense.,"Это штаб-квартира Vigil? Не похоже, что ей нужно много чего ещё для обороны."
That's Vlast's voice.,Это голос Vlast.
"That's Vlast's voice. Right, Commander?","Это голос Vlast. Верно, Коммандир?!"
That's Vlast.,Это Vlast.
"That's Waine, our current champion. First you have to survive the preliminary rounds. Then you can fight Waine.","Это Waine, наш текущий чемпион. Сначала тебе нужно пережить предварительные раунды. А потом сможешь сразиться с Waine."
That's Zhaitan!,Это Zhaitan!
That's a Kryptis axe. I'd recognize it anywhere.,Это топор Kryptis. Я узнаю его где угодно.
That's a beauty! I've only caught five or six bigger than that myself.,Вот это красавица! Я сам ловил лишь пять или шесть штук крупнее этой.
That's a bet you wouldn't lose.,"Это пари, которое вы бы не проиграли."
That's a big one! What should we do?,Это крупный экземпляр! Что нам делать?
"That's a big one. Together, now.","Это крупная цель. Все вместе, сейчас."
That's a big responsibility.,Это большая ответственность.
That's a bit of a leap. Take another look.,Это немного преждевременный вывод. Взгляни ещё раз.
That's a charrific attitude. What if I told you there would be danger along the way?,"Это очень по-чаррски. А что, если я скажу, что по пути нас ждет опасность?"
"That's a choice I've wrestled with, too. Travel well, Slayer. Until we meet again.","Это выбор, с которым я тоже боролась. Счастливого пути, Slayer. До новой встречи."
