english,translate
Energy Probe Dismantler,Демонтажник энергетического зонда
Entanglement,Запутывание
Entering World vs. World,Вход в «World vs. World»
Entrapment,Западня
Envious Reprieve,Завистливая передышка
Environmental Protection,Защита окружающей среды
Environmental Science 101,Экология 101
Environmental Science 102,Экология 102
Environmental Science 103,Экология 103
Environmental Science 201,Экология 201
Environmental Science 202,Экология 202
Environmental Science 203,Экология 203
Environmentally Friendly,Экологически чистый
Envoy Armor II: Refined Armor,Доспехи посла II: Улучшенные доспехи
Envoy's Herald,Вестник Посланника
Eparch Evader,Уклонист от Eparch
Equinox Weapon Collection,Коллекция оружия равноденствия
Equipment Failure,Отказ оборудования
Equipment Tracker,Отслеживание снаряжения
Equitable Elector,Справедливый избиратель
Escape Artist: Defense Systems,Мастер побега: Системы защиты
Essence Collector—Champion,Собиратель эссенции — Чемпион
Essence Collector—Elite,Собиратель эссенции — Элита
Essence Collector—Recruit,Собиратель эссенции — Рекрут
Essence Collector—Veteran,Собиратель эссенции — Ветеран
Essence Looter,Мародер эссенции
Essence Manipulation 101,Манипуляция эссенцией 101
Eternal Aetherblade Shenanigans,Вечные проделки Aetherblade
Eternal Alchemist,Вечный алхимик
Eternal Forged Weapon Collection,Коллекция вечного кованого оружия
Eternal Gladiator,Вечный гладиатор
Eternal Off to See the Wizard's Tower,Вечный путь к Wizard's Tower
Eternal Protector of Droknar's Light,Вечный защитник Droknar's Light
Eternal Protector of Jade Mech Habitation Zone 03,Вечный защитник Jade Mech Habitation Zone 03
Eternal Protector of the Beacon of Ages and Garenhoff,Вечный защитник Beacon of Ages и Garenhoff
Eternal Protector of the Skyward Marches,Вечный защитник Skyward Marches
Eternal Purist Shenanigans,Вечные проделки пуристов
Eternal Seitung Harbor Shenanigans,Вечные проделки в Seitung Harbor
Eternal Seitung Province Meta-Event,Вечное мета-событие в Seitung Province
Eternal Skywatch Archipelago: Unlocking the Wizard's Tower,Архипелаг Вечного Небосвода: Открытие Башни Чародея
Eternal Troubles from the Deep,Вечные неприятности из глубин
Eternally Yours,Навеки ваш
Eternity's Epitome,Воплощение вечности
Eternity's Garden Incursions,Вторжения в Eternity's Garden
Eternity's Garden Insight: Artificer's Islet,Прозрение в Eternity's Garden: Artificer's Islet
Eternity's Garden Insight: Gaze of the All Seer,Прозрение в Eternity's Garden: Gaze of the All Seer
Eternity's Garden Insight: Ley-Drowned Quarry,Прозрение в Eternity's Garden: Ley-Drowned Quarry
Eternity's Garden Insight: Pilgrim's Rest,Прозрение в Eternity's Garden: Pilgrim's Rest
Eternity's Garden Insight: The Temple of Abnegation,Храм Отречения
Eternity's Garden Insight: Under the Shadow of the Spire,Прозрение в Eternity's Garden: Under the Shadow of the Spire
Eternity's Garden Insight: Venomgrove Observatory,Прозрение в Eternity's Garden: Venomgrove Observatory
Eternity's Garden Rift Hunting,Охота на разломы в Eternity's Garden
Etherbound Weapon Collection,Коллекция эфирного оружия
Ethereal Exchange,Эфирный обмен
Ettin Slayer,Истребитель эттинов
Event Collection: Central Janthir Syntri,Коллекция событий: Центральный Janthir Syntri
Event Collection: Northeast Janthir Syntri,Коллекция событий: Северо-восточный Janthir Syntri
Event Collection: Southeast Janthir Syntri,Коллекция событий: Юго-восточный Janthir Syntri
Event Collection: Southwest Janthir Syntri,Коллекция событий: Юго-западный Janthir Syntri
Event Collection: The Midnight Abyss,Коллекция событий: Полуночная Бездна
Event Mentor,Наставник событий
Everlasting Ally of Ahdashim,Вечный союзник Ахдашима
Every Piece Matters (2013),Каждая деталь имеет значение (2013)
Everyone Loves Democracy,Все любят демократию
Everyone's a Critic,Все вокруг — критики
Evolution within Decay,Эволюция в распаде
Exalted Achiever,Возвышенный достигатор
Exalted Global Ranks,Глобальные ранги Возвышенных
Exalted Legend,Легенда Возвышенных
Exalted Supporter,Сторонник Возвышенных
Excellent Judge of Character,Отличный судья характеров
Excess Energy,Избыточная энергия
Excrement Exterminator,Истребитель экскрементов
Executive Execution,Исполнительная казнь
Exfoliating,Отшелушивание
Exhibit Aye,Экспонат «Да»
Exile Executioner,Палач-изгнанник
Exotic Attire,Экзотический наряд
Expensive Taste,Дорогой вкус
Expert Archaeologist,Опытный археолог
Expert Bounty Hunter,Опытный охотник за головами
Expert Explorer,Опытный исследователь
Expert Exterminator,Опытный истребитель
Expert Fractal Fighter,Опытный боец фракталов
Explore other narratives around Janthir.,Исследуйте другие повествования вокруг Джантира.
Explorer's First Super Adventure,Первое супер-приключение исследователя
Explorer's Second Super Adventure,Второе супер-приключение исследователя
Explosive Avoidance,Взрывоопасное уклонение
Explosives Expert,Эксперт по взрывчатке
Exposed Weaknesses,Уязвимые места
Exposed Weaknesses: Redux,Уязвимые места: Возвращение
Extra Life Community Goal,Общественная цель Extra Life
Extra Life Donation Drive,Сбор пожертвований Extra Life
Extra Life Donor,Донор Extra Life
Extra Life Donor Goal,Цель донора Extra Life
Extraction Complete,Извлечение завершено
Extractor Eyesore,Экстрактор-бельмо
Extracurricular Adventures,Внеклассные приключения
Extracurricular Studies of the Astral Kind,Внеклассное изучение астральных сущностей
Eye Survived,Глаз выжил
Eyes for Ears,Глаза вместо ушей
Fabled Genius,Легендарный гений
Fabled Hunter,Легендарный охотник
Fabled Illusionist,Легендарный иллюзионист
Fabled Legionnaire,Легендарный легионер
Fabled Magus,Легендарный маг
Fabled Paragon,Легендарный парагон
Fabled Phantom,Легендарный фантом
