english,translate
"""Fließende Seide""-Rucksack- und Gleitschirm-Kombo",«Парящий шелк»-рюкзак и планер в комплекте
"(Festival) Schließt den Erfolg ""Güter-Händler (jährlich)"" ab",(Фестиваль) Завершите достижение «Торговец товарами (ежегодно)»
"+10%% Outgoing Healing
+45 to All Attributes
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","+10%% Исходящее лечение
+45 ко всем характеристикам
+10%% Кармы
+5%% Ко всему получаемому опыту
+20%% Шанс найти магические предметы
+20%% Шанс найти золото
+10%% Получаемого опыта для развития"
"+500 Power
+500 Vitality
+500 Toughness
+500 Ferocity
+500 Precision
+500 Healing
+500 Concentration
+500 Expertise
+500 Condition Damage","+500 силы
+500 жизненной силы
+500 к живучести
+500 ярости
+500 точности
+500 исцеления
+500 концентрации
+500 мастерства
+500 урона от состояний"
"+600 Power
+300 Precision
+3,750 Vitality
+450 Toughness","+600 силы
+300 точности
+3 750 единиц живучести
+450 защиты"
"+7 Toughness
+5 Precision","+7 защиты
+5 точности"
"-10%% Incoming Damage
+100 Expertise
+70 Condition Damage
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% входящий урон
+100 мастерства
+70 урона от состояний
+10%% кармы
+5%% ко всему получаемому опыту
+20%% шанс найти магический предмет
+20%% шанс найти золото
+10%% опыта"
"-10%% Incoming Damage
+100 Healing Power
+70 Concentration
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% входящий урон
+100 сила исцеления
+70 концентрация
+10%% карма
+5%% весь получаемый опыт
+20%% шанс найти магические предметы
+20%% шанс найти золото
+10%% получаемый опыт WXP"
"-10%% Incoming Damage
+100 Power
+70 Precision
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% входящий урон
+100 силы
+70 точности
+10%% кармы
+5%% ко всему получаемому опыту
+20%% шанс найти магические предметы
+20%% шанс найти золото
+10%% ко всему получаемому опыту мира"
"-10%% Incoming Damage
+100 Vitality
+70 Toughness
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% Урон по прибытии
+100 Жизнеспособность
+70 Защита
+10%% Карма
+5%% Получаемый опыт
+20%% Шанс найти магический предмет
+20%% Шанс найти золото
+10%% Получаемый опыт WXP"
"-10%% Incoming Damage
+20 Power
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% входящий урон
+20 сила
+10%% карма
+5%% весь получаемый опыт
+20%% шанс найти магические предметы
+20%% шанс найти золото
+10%% получаемый опыт"
"-10%% Incoming Damage
+20 to All Attributes
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% входящий урон
+20 ко всем характеристикам
+10%% кармы
+5%% ко всему получаемому опыту
+20%% шанс найти магические предметы
+20%% шанс получить больше золота
+10%% к получаемому количеству очков опыта"
"-10%% Incoming Damage
+80 Concentration
+60 Healing Power
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% Урон от входящих атак
+80 Концентрация
+60 Сила исцеления
+10%% Карма
+5%% К получаемому опыту
+20%% Шанс найти магические предметы
+20%% Шанс получить больше золота
+10%% К получаемому опыту мира"
"-10%% Incoming Damage
+80 Condition Damage
+60 Expertise
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% входящий урон
+80 урона от состояний
+60 мастерство
+10%% карма
+5%% ко всему получаемому опыту
+20%% шанс найти магические предметы
+20%% шанс получить больше золота
+10%% получаемый опыт за события"
"-10%% Incoming Damage
+80 Power
+60 Precision
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-10%% Урон по попаданию
+80 Силы
+60 Точности
+10%% Кармы
+5%% ко всему получаемому опыту
+20%% к шансу найти магические предметы
+20%% к шансу найти золото
+10%% к получаемому опыту мира"
"-20%% Incoming Condition Duration
+50 Power
+40 Precision
+10%% Karma
+5%% All Experience Gained
+20%% Magic Find
+20%% Gold Find
+10%% WXP Gained","-20%% Длительность входящих эффектов
+50 Силы
+40 Точности
+10%% Кармы
+5%% ко всем получаемым очкам опыта
+20%% к шансу найти магические предметы
+20%% к шансу найти золото
+10%% ко всем получаемым очкам WXP"
"33%% Chance to Steal Life
+45 to All Attributes
-10%% Incoming Direct Damage","33%% шанс кражи здоровья
+45 ко всем характеристикам
-10%% входящий прямой урон"
