english,translate
Recipe[s]: Burl Orichalcum Ring,Рецепт[|а|ов]: сучковатое орихалковое кольцо
Recipe[s]: Commander's Pearl Conch,Рецепт[|а|ов]: жемчужная раковина командира
Recipe[s]: Commander's Pearl Rod,Рецепт[|а|ов]: жемчужный жезл командира
Recipe[s]: Commander's Pearl Sabre,Рецепт[|а|ов]: жемчужная сабля командира
Recipe[s]: Commander's Pearl Shell,Рецепт[|а|ов]: жемчужная ракушка командира
Recipe[s]: Commander's Pearl Siren,Рецепт[|а|ов]: жемчужная сирена командира
Recipe[s]: Extended Potion of Inquest Slaying,Рецепт[|а|ов]: усиленное зелье истребления Инквеста
Recipe[s]: Feast of Avocado Salsa,Рецепт[|а|ов]: пир сальсы из авокадо
Recipe[s]: Feast of Bean Salad,Рецепт[|а|ов]: пир фасолевого салата
Recipe[s]: Feast of Black Pepper Cactus Salad,Рецепт[|а|ов]: пир салата из кактуса с чёрным перцем
Recipe[s]: Feast of Chickpea Salad,Рецепт[|а|ов]: пир салата из нута
Recipe[s]: Feast of Clam Cakes,Рецепт[|а|ов]: пир оладий из моллюсков
Recipe[s]: Feast of Coleslaw,Рецепт[|а|ов]: пир капустного салата
Recipe[s]: Feast of Deluxe Burgers,Рецепт[|а|ов]: пир делюкс-бургеров
Recipe[s]: Feast of Fire Salsa,Рецепт[|а|ов]: пир огненной сальсы
Recipe[s]: Feast of Hummus,Рецепт[|а|ов]: пир хумуса
Recipe[s]: Feast of Lotus Fries,Рецепт[|а|ов]: пир жареного лотоса
Recipe[s]: Feast of Lotus Stirfry,Рецепт[|а|ов]: пир жаркого из лотоса
Recipe[s]: Feast of Mango Salsa,Рецепт[|а|ов]: пир сальсы из манго
Recipe[s]: Feast of Nopalitos Sauté,Рецепт[|а|ов]: пир жаркого из нопалитос
Recipe[s]: Feast of Pepper Steaks,Рецепт[|а|ов]: пир стейков с перцем
Recipe[s]: Feast of Roasted Cactus,Рецепт[|а|ов]: пир жареного кактуса
Recipe[s]: Feast of Seaweed Salad,Рецепт[|а|ов]: пир салата из водорослей
Recipe[s]: Feast of Truffle Sautee,Рецепт[|а|ов]: пир жаркого с трюфелем
Recipe[s]: Feast of Truffle Steak,Рецепт[|а|ов]: пир стейка с трюфелем
Recipe[s]: Feast of Veggie Burgers,Рецепт[|а|ов]: пир овощных бургеров
Recipe[s]: Feast of Veggie Pizzas,Рецепт[|а|ов]: пир овощных пицц
Recipe[s]: Feast of Yam Fritters,Рецепт[|а|ов]: пир оладий из ямса
Recipe[s]: Giant Chocolate Cake,Рецепт[|а|ов]: гигантский шоколадный торт
Recipe[s]: Gift of Souls,Рецепт[|а|ов]: дар душ
Recipe[s]: Gift of Spiders,Рецепт[|а|ов]: дар пауков
Recipe[s]: Gift of the Moon,Рецепт[|а|ов]: дар луны
Recipe[s]: Harrier's Warbeast Cowl,Рецепт[|а|ов]: капюшон боевого зверя Вестника
Recipe[s]: Harrier's Warbeast Mask,Рецепт[|а|ов]: маска боевого зверя Вестника
Recipe[s]: Keeper's Artifact,Рецепт[|а|ов]: артефакт Хранителя
Recipe[s]: Keeper's Bastion,Рецепт[|а|ов]: бастион Хранителя
Recipe[s]: Keeper's Blade,Рецепт[|а|ов]: клинок Хранителя
Recipe[s]: Keeper's Brazier,Рецепт[|а|ов]: жаровня Хранителя
Recipe[s]: Keeper's Breastplate,Рецепт[|а|ов]: нагрудник Хранителя
Recipe[s]: Keeper's Breeches,Рецепт[|а|ов]: штаны Хранителя
Recipe[s]: Keeper's Claymore,Рецепт[|а|ов]: клеймор Хранителя
Recipe[s]: Keeper's Doublet,Рецепт[|а|ов]: дублет Хранителя
Recipe[s]: Keeper's Epaulets,Рецепт[|а|ов]: эполеты Хранителя
Recipe[s]: Keeper's Flanged Mace,Рецепт[|а|ов]: фланцевая булава Хранителя
Recipe[s]: Keeper's Footwear,Рецепт[|а|ов]: обувь Хранителя
Recipe[s]: Keeper's Greatbow,Рецепт[|а|ов]: великий лук Хранителя
Recipe[s]: Keeper's Greaves,Рецепт[|а|ов]: наголенники Хранителя
Recipe[s]: Keeper's Grips,Рецепт[|а|ов]: перчатки Хранителя
Recipe[s]: Keeper's Guise,Рецепт[|а|ов]: личина Хранителя
Recipe[s]: Keeper's Harpoon Gun,Рецепт[|а|ов]: гарпунное ружьё Хранителя
Recipe[s]: Keeper's Herald,Рецепт[|а|ов]: глашатай Хранителя
Recipe[s]: Keeper's Impaler,Рецепт[|а|ов]: пронзатель Хранителя
Recipe[s]: Keeper's Leggings,Рецепт[|а|ов]: поножи Хранителя
Recipe[s]: Keeper's Masque,Рецепт[|а|ов]: маска Хранителя
Recipe[s]: Keeper's Musket,Рецепт[|а|ов]: мушкет Хранителя
Recipe[s]: Keeper's Pauldrons,Рецепт[|а|ов]: наплечники Хранителя
Recipe[s]: Keeper's Razor,Рецепт[|а|ов]: бритва Хранителя
Recipe[s]: Keeper's Reaver,Рецепт[|а|ов]: секира Хранителя
Recipe[s]: Keeper's Revolver,Рецепт[|а|ов]: револьвер Хранителя
Recipe[s]: Keeper's Short Bow,Рецепт[|а|ов]: короткий лук Хранителя
Recipe[s]: Keeper's Shoulderguard,Рецепт[|а|ов]: наплечник Хранителя
Recipe[s]: Keeper's Spire,Рецепт[|а|ов]: шпиль Хранителя
Recipe[s]: Keeper's Striders,Рецепт[|а|ов]: поступи Хранителя
Recipe[s]: Keeper's Tassets,Рецепт[|а|ов]: набедренники Хранителя
Recipe[s]: Keeper's Trident,Рецепт[|а|ов]: трезубец Хранителя
Recipe[s]: Keeper's Visage,Рецепт[|а|ов]: лик Хранителя
Recipe[s]: Keeper's Visor,Рецепт[|а|ов]: забрало Хранителя
Recipe[s]: Keeper's Wand,Рецепт[|а|ов]: жезл Хранителя
Recipe[s]: Keeper's Warfists,Рецепт[|а|ов]: боевые рукавицы Хранителя
Recipe[s]: Keeper's Warhammer,Рецепт[|а|ов]: боевой молот Хранителя
Recipe[s]: Keeper's Wristguards,Рецепт[|а|ов]: наручи Хранителя
Recipe[s]: Laranthir's Artifact,Рецепт[|а|ов]: артефакт Ларантира
Recipe[s]: Laranthir's Bastion,Рецепт[|а|ов]: бастион Ларантира
Recipe[s]: Laranthir's Blade,Рецепт[|а|ов]: клинок Ларантира
Recipe[s]: Laranthir's Brazier,Рецепт[|а|ов]: жаровня Ларантира
Recipe[s]: Laranthir's Breastplate,Рецепт[|а|ов]: нагрудник Ларантира
Recipe[s]: Laranthir's Breeches,Рецепт[|а|ов]: штаны Ларантира
Recipe[s]: Laranthir's Claymore,Рецепт[|а|ов]: клеймор Ларантира
Recipe[s]: Laranthir's Doublet,Рецепт[|а|ов]: дублет Ларантира
Recipe[s]: Laranthir's Epaulets,Рецепт[|а|ов]: эполеты Ларантира
Recipe[s]: Laranthir's Footwear,Рецепт[|а|ов]: обувь Ларантира
Recipe[s]: Laranthir's Greatbow,Рецепт[|а|ов]: великий лук Ларантира
Recipe[s]: Laranthir's Greaves,Рецепт[|а|ов]: наголенники Ларантира
