english,translate
Beastslayer Scepter,Beastslayer Scepter
Beastslayer Shield,Beastslayer Shield
Beastslayer Short Bow,Beastslayer Short Bow
Beastslayer Staff,Beastslayer Staff
Beastslayer Sword,Beastslayer Sword
Beastslayer Torch,Beastslayer Torch
Beastslayer Warhorn,Beastslayer Warhorn
Belinda's Greatsword,Belinda's Greatsword
Benthic Aquabreather,Benthic Aquabreather
Benthic Hydrobreather,Benthic Hydrobreather
Benthic Waterbreather,Benthic Waterbreather
Bestial Tides Tattoo Chest,Bestial Tides Tattoo Chest
Bestial Tides Tattoo Legs,Bestial Tides Tattoo Legs
Beta Fractal Capacitor,Beta Fractal Capacitor
Bioluminescent Axe,Bioluminescent Axe
Bioluminescent Dagger,Bioluminescent Dagger
Bioluminescent Focus,Bioluminescent Focus
Bioluminescent Greatsword,Bioluminescent Greatsword
Bioluminescent Hammer,Bioluminescent Hammer
Bioluminescent Longbow,Bioluminescent Longbow
Bioluminescent Mace,Bioluminescent Mace
Bioluminescent Pistol,Bioluminescent Pistol
Bioluminescent Rifle,Bioluminescent Rifle
Bioluminescent Scepter,Bioluminescent Scepter
Bioluminescent Shield,Bioluminescent Shield
Bioluminescent Short Bow,Bioluminescent Short Bow
Bioluminescent Staff,Bioluminescent Staff
Bioluminescent Sword,Bioluminescent Sword
Bioluminescent Torch,Bioluminescent Torch
Bioluminescent Warhorn,Bioluminescent Warhorn
Black Earth Aquabreather,Black Earth Aquabreather
Blazing Cape,Blazing Cape
Blissful Boots,Blissful Boots
Blissful Skirt,Blissful Skirt
Blood Dominion Greatsword,Blood Dominion Greatsword
Blood Legion Combat Blade,Blood Legion Combat Blade
Blood Legion Flamesaw,Blood Legion Flamesaw
Blood Legion Longshot,Blood Legion Longshot
Blood Legion Pistol,Blood Legion Pistol
Blood Legion Staff,Blood Legion Staff
Blood Moon Axe,Blood Moon Axe
Blood Moon Dagger,Blood Moon Dagger
Blood Moon Focus,Blood Moon Focus
Blood Moon Greatsword,Blood Moon Greatsword
Blood Moon Hammer,Blood Moon Hammer
Blood Moon Longbow,Blood Moon Longbow
Blood Moon Mace,Blood Moon Mace
Blood Moon Pistol,Blood Moon Pistol
Blood Moon Rifle,Blood Moon Rifle
Blood Moon Scepter,Blood Moon Scepter
Blood Moon Shield,Blood Moon Shield
Blood Moon Short Bow,Blood Moon Short Bow
Blood Moon Spear,Blood Moon Spear
Blood Moon Staff,Blood Moon Staff
Blood Moon Sword,Blood Moon Sword
Blood Moon Torch,Blood Moon Torch
Blood Moon Warhorn,Blood Moon Warhorn
Bloodflame Sword,Bloodflame Sword
Bloodstained Lunatic Noble Coat,Bloodstained Lunatic Noble Coat
Bloodstained Lunatic Noble Mask,Bloodstained Lunatic Noble Mask
Bloodstone Axe,Bloodstone Axe
Bloodstone Dagger,Bloodstone Dagger
Bloodstone Focus,Bloodstone Focus
Bloodstone Greatsword,Bloodstone Greatsword
Bloodstone Hammer,Bloodstone Hammer
Bloodstone Longbow,Bloodstone Longbow
Bloodstone Mace,Bloodstone Mace
Bloodstone Pistol,Bloodstone Pistol
Bloodstone Rifle,Bloodstone Rifle
Bloodstone Savant's Staff,Bloodstone Savant's Staff
Bloodstone Scepter,Bloodstone Scepter
Bloodstone Shield,Bloodstone Shield
Bloodstone Short Bow,Bloodstone Short Bow
Bloodstone Staff,Bloodstone Staff
Bloodstone Sword,Bloodstone Sword
Bloodstone Torch,Bloodstone Torch
Bloodstone Visage,Bloodstone Visage
Bloodstone Warhorn,Bloodstone Warhorn
Blossoming Mist Shard Boots,Blossoming Mist Shard Boots
Blossoming Mist Shard Bracers,Blossoming Mist Shard Bracers
Blossoming Mist Shard Breeches,Blossoming Mist Shard Breeches
Blossoming Mist Shard Chestguard,Blossoming Mist Shard Chestguard
Blossoming Mist Shard Coronet,Blossoming Mist Shard Coronet
Blossoming Mist Shard Epaulets,Blossoming Mist Shard Epaulets
Blossoming Mist Shard Gambeson,Blossoming Mist Shard Gambeson
Blossoming Mist Shard Gauntlets,Blossoming Mist Shard Gauntlets
Blossoming Mist Shard Gloves,Blossoming Mist Shard Gloves
Blossoming Mist Shard Greaves,Blossoming Mist Shard Greaves
Blossoming Mist Shard Helm,Blossoming Mist Shard Helm
Blossoming Mist Shard Leggings,Blossoming Mist Shard Leggings
Blossoming Mist Shard Pauldrons,Blossoming Mist Shard Pauldrons
Blossoming Mist Shard Plate,Blossoming Mist Shard Plate
Blossoming Mist Shard Shoulders,Blossoming Mist Shard Shoulders
Blossoming Mist Shard Tassets,Blossoming Mist Shard Tassets
Blossoming Mist Shard Visage,Blossoming Mist Shard Visage
Blossoming Mist Shard Walkers,Blossoming Mist Shard Walkers
Bone Dragon Staff,Bone Dragon Staff
Boots of Dhuum,Boots of Dhuum
Braham's Mace,Braham's Mace
Braham's Shield,Braham's Shield
Braham's Wolfblood Pauldrons,Braham's Wolfblood Pauldrons
Branded Axe,Branded Axe
Branded Dagger,Branded Dagger
Branded Focus,Branded Focus
Branded Greatsword,Branded Greatsword
Branded Hammer,Branded Hammer
Branded Longbow,Branded Longbow
Branded Mace,Branded Mace
Branded Pistol,Branded Pistol
Branded Rifle,Branded Rifle
Branded Scepter,Branded Scepter
Branded Shield,Branded Shield
Branded Short Bow,Branded Short Bow
Branded Staff,Branded Staff
Branded Sword,Branded Sword
Branded Torch,Branded Torch
Branded Warhorn,Branded Warhorn
Brawler's Silk Jacket,Brawler's Silk Jacket
Breezy Swim Bottoms,Breezy Swim Bottoms
Breezy Swim Top,Breezy Swim Top
Brewmaster's Backpack,Brewmaster's Backpack
Bright Inquisitor Axe,Bright Inquisitor Axe
Bright Inquisitor Dagger,Bright Inquisitor Dagger
Bright Inquisitor Focus,Bright Inquisitor Focus
Bright Inquisitor Greatsword,Bright Inquisitor Greatsword
Bright Inquisitor Hammer,Bright Inquisitor Hammer
Bright Inquisitor Longbow,Bright Inquisitor Longbow
Bright Inquisitor Mace,Bright Inquisitor Mace
Bright Inquisitor Pistol,Bright Inquisitor Pistol
Bright Inquisitor Rifle,Bright Inquisitor Rifle
Bright Inquisitor Scepter,Bright Inquisitor Scepter
Bright Inquisitor Shield,Bright Inquisitor Shield
Bright Inquisitor Short Bow,Bright Inquisitor Short Bow
Bright Inquisitor Staff,Bright Inquisitor Staff
Bright Inquisitor Sword,Bright Inquisitor Sword
Bright Inquisitor Torch,Bright Inquisitor Torch
Bright Inquisitor Warhorn,Bright Inquisitor Warhorn
Bronze Axe,Bronze Axe
Bronze Dagger,Bronze Dagger
Bronze Greatsword,Bronze Greatsword
Bronze Hammer,Bronze Hammer
Bronze Javelin,Bronze Javelin
Bronze Mace,Bronze Mace
Bronze Pistol,Bronze Pistol
Bronze Rifle,Bronze Rifle
Bronze Shield,Bronze Shield
Bronze Spear,Bronze Spear
Bronze Sword,Bronze Sword
Buccaneer Boots,Buccaneer Boots
Buccaneer Coat,Buccaneer Coat
Buccaneer Gloves,Buccaneer Gloves
Buccaneer Helm,Buccaneer Helm
Buccaneer Leggings,Buccaneer Leggings
Buccaneer Shoulders,Buccaneer Shoulders
Buoyant Chestpiece,Buoyant Chestpiece
Caithe's Bloom Dagger,Caithe's Bloom Dagger
Caithe's Crystal Bloom Sword,Caithe's Crystal Bloom Sword
Calcite Antique Artifact,Calcite Antique Artifact
Calcite Antique Bastion,Calcite Antique Bastion
Calcite Antique Blade,Calcite Antique Blade
Calcite Antique Brazier,Calcite Antique Brazier
Calcite Antique Claymore,Calcite Antique Claymore
Calcite Antique Flanged Mace,Calcite Antique Flanged Mace
Calcite Antique Greatbow,Calcite Antique Greatbow
Calcite Antique Harpoon Gun,Calcite Antique Harpoon Gun
Calcite Antique Herald,Calcite Antique Herald
Calcite Antique Impaler,Calcite Antique Impaler
Calcite Antique Musket,Calcite Antique Musket
Calcite Antique Razor,Calcite Antique Razor
Calcite Antique Reaver,Calcite Antique Reaver
Calcite Antique Revolver,Calcite Antique Revolver
Calcite Antique Short Bow,Calcite Antique Short Bow
Calcite Antique Spire,Calcite Antique Spire
Calcite Antique Trident,Calcite Antique Trident
Calcite Antique Wand,Calcite Antique Wand
Calcite Antique Warhammer,Calcite Antique Warhammer
Calligrapher's Axe,Calligrapher's Axe
Calligrapher's Dagger,Calligrapher's Dagger
Calligrapher's Focus,Calligrapher's Focus
Calligrapher's Greatsword,Calligrapher's Greatsword
Calligrapher's Hammer,Calligrapher's Hammer
Calligrapher's Longbow,Calligrapher's Longbow
Calligrapher's Mace,Calligrapher's Mace
Calligrapher's Pistol,Calligrapher's Pistol
Calligrapher's Rifle,Calligrapher's Rifle
Calligrapher's Scepter,Calligrapher's Scepter
Calligrapher's Shield,Calligrapher's Shield
Calligrapher's Short Bow,Calligrapher's Short Bow
Calligrapher's Spear,Calligrapher's Spear
Calligrapher's Staff,Calligrapher's Staff
Calligrapher's Sword,Calligrapher's Sword
Calligrapher's Torch,Calligrapher's Torch
Calligrapher's Warhorn,Calligrapher's Warhorn
Candy Cane Axe,Candy Cane Axe
Candy Cane Dagger,Candy Cane Dagger
Candy Cane Focus,Candy Cane Focus
Candy Cane Greatsword,Candy Cane Greatsword
Candy Cane Hammer,Candy Cane Hammer
Candy Cane Longbow,Candy Cane Longbow
Candy Cane Mace,Candy Cane Mace
Candy Cane Pistol,Candy Cane Pistol
Candy Cane Rifle,Candy Cane Rifle
Candy Cane Scepter,Candy Cane Scepter
Candy Cane Shield,Candy Cane Shield
Candy Cane Short Bow,Candy Cane Short Bow
Candy Cane Staff,Candy Cane Staff
Candy Cane Sword,Candy Cane Sword
Candy Cane Torch,Candy Cane Torch
Candy Cane Warhorn,Candy Cane Warhorn
Canthan Sun Hat,Canthan Sun Hat
Cat-Ear Hood,Cat-Ear Hood
Caustic Nightmare Anelace,Caustic Nightmare Anelace
Caustic Nightmare Corsage,Caustic Nightmare Corsage
Caustic Nightmare Nettleguard,Caustic Nightmare Nettleguard
Caustic Nightmare Thornblade,Caustic Nightmare Thornblade
Cavalier Axe,Cavalier Axe
Cavalier Dagger,Cavalier Dagger
Cavalier Focus,Cavalier Focus
Cavalier Greatsword,Cavalier Greatsword
Cavalier Hammer,Cavalier Hammer
Cavalier Longbow,Cavalier Longbow
Cavalier Mace,Cavalier Mace
Cavalier Pistol,Cavalier Pistol
Cavalier Rifle,Cavalier Rifle
Cavalier Scepter,Cavalier Scepter
Cavalier Shield,Cavalier Shield
Cavalier Short Bow,Cavalier Short Bow
Cavalier Staff,Cavalier Staff
Cavalier Sword,Cavalier Sword
Cavalier Torch,Cavalier Torch
Cavalier Warhorn,Cavalier Warhorn
Celebrate Wintersday year-round with your own snow flurry.,Celebrate Wintersday year-round with your own snow flurry.
Celestial Axe,Celestial Axe
Celestial Compass,Celestial Compass
Ceremonial Bulwark,Ceremonial Bulwark
Ceremonial Focus,Ceremonial Focus
Ceremonial Hammer,Ceremonial Hammer
Ceremonial Longbow,Ceremonial Longbow
Ceremonial Morning Star,Ceremonial Morning Star
Ceremonial Pistol,Ceremonial Pistol
Ceremonial Rifle,Ceremonial Rifle
Ceremonial Sabre,Ceremonial Sabre
Ceremonial Scepter,Ceremonial Scepter
Ceremonial Scimitar,Ceremonial Scimitar
Ceremonial Short Bow,Ceremonial Short Bow
Ceremonial Speargun,Ceremonial Speargun
Ceremonial Torch,Ceremonial Torch
Ceremonial Trident,Ceremonial Trident
Ceremonial Warhorn,Ceremonial Warhorn
Ceremonial Winged Axe,Ceremonial Winged Axe
Cerulean Wand,Cerulean Wand
Chain-Whip Sword,Chain-Whip Sword
Chainmail Chestpiece,Chainmail Chestpiece
Chainmail Leggings,Chainmail Leggings
Chak Axe,Chak Axe
Chak Dagger,Chak Dagger
Chak Focus,Chak Focus
Chak Greatsword,Chak Greatsword
Chak Hammer,Chak Hammer
Chak Longbow,Chak Longbow
Chak Mace,Chak Mace
Chak Pistol,Chak Pistol
Chak Rifle,Chak Rifle
Chak Scepter,Chak Scepter
Chak Short Bow,Chak Short Bow
Chak Staff,Chak Staff
Chak Sword,Chak Sword
Chak Torch,Chak Torch
Chak Warhorn,Chak Warhorn
Chaos Axe,Chaos Axe
Chaos Dagger,Chaos Dagger
Chaos Focus,Chaos Focus
Chaos Gloves,Chaos Gloves
Chaos Hammer,Chaos Hammer
Chaos Harpoon Gun,Chaos Harpoon Gun
Chaos Longbow,Chaos Longbow
Chaos Mace,Chaos Mace
Chaos Pistol,Chaos Pistol
Chaos Rifle,Chaos Rifle
Chaos Scepter,Chaos Scepter
Chaos Short Bow,Chaos Short Bow
Chaos Spear,Chaos Spear
Chaos Staff,Chaos Staff
Chaos Sword,Chaos Sword
Chaos Torch,Chaos Torch
Chaos Trident,Chaos Trident
Chaos Warhorn,Chaos Warhorn
Charged Stormcaller Axe,Charged Stormcaller Axe
Charged Stormcaller Dagger,Charged Stormcaller Dagger
Charged Stormcaller Focus,Charged Stormcaller Focus
Charged Stormcaller Greatsword,Charged Stormcaller Greatsword
Charged Stormcaller Hammer,Charged Stormcaller Hammer
Charged Stormcaller Longbow,Charged Stormcaller Longbow
Charged Stormcaller Mace,Charged Stormcaller Mace
Charged Stormcaller Pistol,Charged Stormcaller Pistol
Charged Stormcaller Rifle,Charged Stormcaller Rifle
Charged Stormcaller Scepter,Charged Stormcaller Scepter
Charged Stormcaller Shield,Charged Stormcaller Shield
Charged Stormcaller Short Bow,Charged Stormcaller Short Bow
Charged Stormcaller Spear,Charged Stormcaller Spear
Charged Stormcaller Staff,Charged Stormcaller Staff
Charged Stormcaller Sword,Charged Stormcaller Sword
Charged Stormcaller Torch,Charged Stormcaller Torch
Charged Stormcaller Warhorn,Charged Stormcaller Warhorn
Cheetah Charr Backpack,Cheetah Charr Backpack
Chromatic Assassin Axe,Chromatic Assassin Axe
Chromatic Assassin Dagger,Chromatic Assassin Dagger
Chromatic Assassin Focus,Chromatic Assassin Focus
Chromatic Assassin Greatsword,Chromatic Assassin Greatsword
Chromatic Assassin Hammer,Chromatic Assassin Hammer
Chromatic Assassin Longbow,Chromatic Assassin Longbow
Chromatic Assassin Mace,Chromatic Assassin Mace
Chromatic Assassin Pistol,Chromatic Assassin Pistol
Chromatic Assassin Rifle,Chromatic Assassin Rifle
Chromatic Assassin Scepter,Chromatic Assassin Scepter
Chromatic Assassin Shield,Chromatic Assassin Shield
Chromatic Assassin Short Bow,Chromatic Assassin Short Bow
Chromatic Assassin Spear,Chromatic Assassin Spear
Chromatic Assassin Staff,Chromatic Assassin Staff
Chromatic Assassin Sword,Chromatic Assassin Sword
Chromatic Assassin Torch,Chromatic Assassin Torch
Chromatic Assassin Warhorn,Chromatic Assassin Warhorn
Chromatic Resin Axe,Chromatic Resin Axe
Chromatic Resin Dagger,Chromatic Resin Dagger
Chromatic Resin Focus,Chromatic Resin Focus
Chromatic Resin Greatsword,Chromatic Resin Greatsword
Chromatic Resin Hammer,Chromatic Resin Hammer
Chromatic Resin Longbow,Chromatic Resin Longbow
Chromatic Resin Mace,Chromatic Resin Mace
Chromatic Resin Pistol,Chromatic Resin Pistol
Chromatic Resin Rifle,Chromatic Resin Rifle
Chromatic Resin Scepter,Chromatic Resin Scepter
Chromatic Resin Shield,Chromatic Resin Shield
Chromatic Resin Short Bow,Chromatic Resin Short Bow
Chromatic Resin Spear,Chromatic Resin Spear
Chromatic Resin Staff,Chromatic Resin Staff
Chromatic Resin Sword,Chromatic Resin Sword
Chromatic Resin Torch,Chromatic Resin Torch
Chromatic Resin Warhorn,Chromatic Resin Warhorn
Citrine Antique Artifact,Citrine Antique Artifact
Citrine Antique Bastion,Citrine Antique Bastion
Citrine Antique Blade,Citrine Antique Blade
Citrine Antique Brazier,Citrine Antique Brazier
Citrine Antique Claymore,Citrine Antique Claymore
Citrine Antique Flanged Mace,Citrine Antique Flanged Mace
Citrine Antique Greatbow,Citrine Antique Greatbow
Citrine Antique Harpoon Gun,Citrine Antique Harpoon Gun
Citrine Antique Herald,Citrine Antique Herald
Citrine Antique Impaler,Citrine Antique Impaler
Citrine Antique Musket,Citrine Antique Musket
Citrine Antique Razor,Citrine Antique Razor
Citrine Antique Reaver,Citrine Antique Reaver
Citrine Antique Revolver,Citrine Antique Revolver
Citrine Antique Short Bow,Citrine Antique Short Bow
Citrine Antique Spire,Citrine Antique Spire
Citrine Antique Trident,Citrine Antique Trident
Citrine Antique Wand,Citrine Antique Wand
Citrine Antique Warhammer,Citrine Antique Warhammer
Classic Leather Boots,Classic Leather Boots
Clawing Shadow Gloves,Clawing Shadow Gloves
Clawing Shadow Greaves,Clawing Shadow Greaves
Cloaked Cat Mantle,Cloaked Cat Mantle
Clockwork Scythe,Clockwork Scythe
Collapsing Star Axe,Collapsing Star Axe
Collapsing Star Dagger,Collapsing Star Dagger
Collapsing Star Focus,Collapsing Star Focus
Collapsing Star Greatsword,Collapsing Star Greatsword
Collapsing Star Hammer,Collapsing Star Hammer
Collapsing Star Longbow,Collapsing Star Longbow
Collapsing Star Mace,Collapsing Star Mace
Collapsing Star Pistol,Collapsing Star Pistol
Collapsing Star Rifle,Collapsing Star Rifle
Collapsing Star Scepter,Collapsing Star Scepter
Collapsing Star Shield,Collapsing Star Shield
Collapsing Star Short Bow,Collapsing Star Short Bow
Collapsing Star Spear,Collapsing Star Spear
Collapsing Star Staff,Collapsing Star Staff
Collapsing Star Sword,Collapsing Star Sword
Collapsing Star Torch,Collapsing Star Torch
Collapsing Star Warhorn,Collapsing Star Warhorn
Colossal Greatsword,Colossal Greatsword
Comet Hammer,Comet Hammer
Commander's Chausses,Commander's Chausses
Commander's Footgear,Commander's Footgear
Commander's Gauntlets,Commander's Gauntlets
Commander's Helm,Commander's Helm
Commander's Shoulderplates,Commander's Shoulderplates
Complete the Destroyer Weapons collection to earn this staff skin.,"Завершите коллекцию Destroyer Weapons, чтобы получить этот облик посоха."
Concealed Jade Tech Pistol,Concealed Jade Tech Pistol
Conjured Amalgamate's Greatblade,Conjured Amalgamate's Greatblade
Conjured Amalgamate's Shield,Conjured Amalgamate's Shield
Conjured Starlight Hat,Conjured Starlight Hat
Conjurer Shoes,Conjurer Shoes
