english,translate
Escort the PAC-7000 golem along its northern supply route,Сопроводите голем PAC-7000 по его северному маршруту снабжения
Escort the Pact soldier to the nearest rally point,Сопроводите солдата Pact до ближайшей точки сбора
Escort the Pact squad to the conservatory,Сопроводите отряд Pact в оранжерею
Escort the Priest from Lakeside Bazaar to the Temple of the Six,Сопроводите Priest из Lakeside Bazaar в Temple of the Six
Escort the Renegade defector to the Delegation of the Legions,Сопроводите перебежчика из Ренегатов к Делегации Легионов
Escort the Renegade defector to the charr delegation.,Сопроводите перебежчика из Ренегатов к делегации чарр.
Escort the Royal Messenger to Summit Peak,Сопроводите Королевского гонца к Пику Вершины
Escort the Sentinel squad to the Vigil camp in Lowland Burns,Сопроводите отряд Стражей (Sentinel) в лагерь Бдительных (Vigil) в Lowland Burns
Escort the Seraph Reinforcements to New Loamhurst,Сопроводите подкрепление Серафимов к Нью-Лоамхерсту
Escort the Seraph reinforcements to Saidra's Haven,Сопроводите подкрепление Серафимов в Saidra's Haven
Escort the Tengu to Qinkai Village,Сопроводите Tengu в деревню Qinkai
Escort the Traveling Merchant Orthun's caravan to Yak's Bend,Сопроводите караван странствующего торговца Orthun до Yak's Bend
Escort the Vigil siegemaster to the toxic offshoot.,Сопроводите осадного мастера Дозора к токсичному отростку.
Escort the Vigil squad to the ancient ruins,Сопроводите отряд Vigil к древним руинам
Escort the Vigil team.,Сопроводите отряд Vigil.
Escort the Vigil to the Tower of Modius,Сопроводите Vigil к Tower of Modius
Escort the artifacts,Сопроводите артефакты
Escort the asuran researchers to Vanjir's Stead,Сопроводите асура-исследователей к поместью Vanjir
Escort the caravan to Kessex Haven.,Сопроводите караван в Kessex Haven.
Escort the carnival caravan to Beetletun.,Сопроводи караван артистов до Beetletun.
Escort the castaways into freebooter territory to pillage and plunder.,"Сопроводите потерпевших кораблекрушение на территорию фрибутеров, чтобы грабить и мародерствовать."
Escort the central invasion Pact squad to the Pact rally point at Triumph Plaza,Сопроводите центральный отряд вторжения Пакта к точке сбора Пакта на площади Триумфа
Escort the chief engineer to safety,Сопроводи главного инженера в безопасное место
Escort the crystal runner to Less.,Сопроводите кристального бегуна к Less.
Escort the demolition team to the statue.,Сопровождайте группу подрывников к статуе.
Escort the disillusioned skritt to their new home,Сопроводите разочарованных скриттов к их новому дому
Escort the elite Whispers strike team to the secret Inquest base entrance,Сопроводите элитную ударную группу Шепчущих к входу на секретную базу Инквезиции
Escort the escaping captive to safety,Сопроводите сбежавшего пленника в безопасное место
Escort the explosives-laden dolyaks to the Barrowstead.,Сопроводите нагруженных взрывчаткой дольяков к Барроустеду.
Escort the frightened Kryptis to safety.,Сопроводите испуганных криптисов в безопасное место.
Escort the injured hylek to the healing spring,Сопроводите раненых хилеков к целебному источнику
