english,translate
+20%% Bleeding Duration,+20%% длительности кровотечения
+20%% Burning Duration,+20%% длительности горения
+20%% Burning duration; increase strike damage by 10%% while fire aura is active.,"+20%% длительности горения; увеличение урона от ударов на 10%%, пока активна огненная аура."
+20%% Chill Duration,+20%% длительности озноба
+20%% Confusion Duration,+20%% длительности замешательства
+20%% Dungeon Influence for 24 Hrs,+20%% влияния в подземельях на 24 часа
+20%% Experience from Kills,+20%% опыта за убийства
+20%% Fury Duration,+20%% длительности Ярости
+20%% Fury duration; increase strike damage dealt by 5%% while under the effect of fury.,"+20%% длительности Ярости; увеличивает наносимый урон от ударов на 5%%, пока действует Ярость."
+20%% Gold from Monsters,+20%% золота с монстров
+20%% Magic Find,+20%% к поиску магических предметов
+20%% Might Duration,+20%% длительности Мощи
+20%% Poison Duration,+20%% длительности Яда
+20%% Protection Duration,+20%% длительности Защиты
+20%% Quickness Duration,+20%% длительности Спешки
+20%% Regeneration Duration,+20%% длительности Регенерации
+20%% Stun Duration,+20%% длительности Оглушения
+20%% Swiftness Duration,+20%% длительности Стремительности
+20%% Torment Duration,+20%% длительности Мучения
+20%% Weakness Duration,+20%% длительности Слабости
+21 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +21
+21 Agony Resistance,+21 Сопротивление агонии
+21 Condition Damage,+21 Урон от состояний
+21 Ferocity,+21 Свирепость
+21 Healing,+21 Исцеление
+21 Healing Power,+21 Сила исцеления
+21 Power,+21 Сила
+21 Precision,+21 Точность
+21 Toughness,+21 Стойкость
+21 Vitality,+21 Живучесть
+22 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +22
+22 Agony Resistance,+22 Сопротивление агонии
+23 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +23
+23 Agony Resistance,+23 Сопротивление агонии
+24 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +24
+24 Agony Resistance,+24 Сопротивление агонии
+25 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +25
+25 Agony Resistance,+25 Сопротивление агонии
+25 Condition Damage,+25 Урон от состояний
+25 Ferocity,+25 Свирепость
+25 Healing,+25 Исцеление
+25 Healing Power,+25 Сила исцеления
+25 Power,+25 Сила
+25 Precision,+25 Точность
+25 Swim-Speed Infusion Upgrades,+25 к улучшению инфузии скорости плавания
+25 Toughness,+25 Стойкость
+25 Vitality,+25 Живучесть
+25%% damage melee attack. 10%% to break.,+25%% урона в ближнем бою. 10%% шанс сломать.
+25%% damage on next attack.,+25%% урона в следующей атаке.
+25%% Movement Speed,+25%% к скорости передвижения
+250 Damage. Range Attack. Knocks down your target.,+250 урона. Дальняя атака. Сбивает цель с ног.
+250 Damage. Ranged Attack. Knocks down target.,+250 урона. Дальняя атака. Сбивает цель с ног.
+26 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +26
+26 Agony Resistance,+26 Сопротивление агонии
+27 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +27
+27 Agony Resistance,+27 Сопротивление агонии
+28 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +28
+28 Agony Resistance,+28 Сопротивление агонии
+29 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +29
+29 Agony Resistance,+29 Сопротивление агонии
+3 Agony Infusion Upgrades,+3 улучшения инфузии агонии
+3 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +3
+3 Agony Resistance,+3 Сопротивление агонии
+3 Condition Damage,+3 Урон от состояний
+3 Healing,+3 Исцеление
+3 Power,+3 Сила
+3 Precision,+3 Точность
+3 to All Stats,+3 ко всем характеристикам
+3 Toughness,+3 Стойкость
+3 Vitality,+3 Живучесть
+3%% Boon Duration,+3%% к длительности блага
+3%% Condition Damage,+3%% к урону от состояний
+3%% Condition Duration,+3%% к длительности состояний
+3%% Critical Chance,+3%% к шансу критического удара
+3%% Damage,+3%% к урону
+3%% Movement Speed,+3%% к скорости передвижения
+3%% Strike Damage vs. Destroyers,+3%% урона разрушителям от ударов
+30 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +30
+30 Agony Resistance,+30 Сопротивление агонии
+30 Concentration,+30 Концентрация
+30 Condition Damage,+30 Урон от состояний
+30 Ferocity,+30 Свирепость
+30 Healing,+30 Исцеление
+30 Power,+30 Сила
+30 Precision,+30 Точность
+30 Toughness,+30 Стойкость
+30 Vitality,+30 Живучесть
+30%% Stun Duration,+30%% к длительности оглушения
"+30%% Stun Duration, +3%% Damage against Stunned Foes","+30%% к длительности оглушения, +3%% к урону по оглушённым врагам"
+33%% Daze Duration,+33%% к длительности ошеломления
+35 Condition Damage,+35 Урон от состояний
+35 Ferocity,+35 Свирепость
+35 Healing,+35 Исцеление
+35 Healing Power,+35 Сила исцеления
+35 Power,+35 Сила
+35 Precision,+35 Точность
+35 Toughness,+35 Стойкость
+35 Vitality,+35 Живучесть
+39 Condition Damage,+39 Урон от состояний
+39 Ferocity,+39 Свирепость
+39 Healing,+39 Исцеление
+39 Power,+39 Сила
+39 Precision,+39 Точность
+39 Toughness,+39 Стойкость
+39 Vitality,+39 Живучесть
+4 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +4
+4 Agony Resistance,+4 Сопротивление агонии
+4 Concentration,+4 Концентрация
+4 Condition Damage,+4 Урон от состояний
+4 Healing,+4 Исцеление
+4 Power,+4 Сила
+4 Precision,+4 Точность
+4 to All Stats,+4 ко всем характеристикам
+4 Toughness,+4 Стойкость
+4 Vitality,+4 Живучесть
+4%% Bleeding Duration,+4%% к длительности кровотечения
+4%% Boon Duration,+4%% к длительности благословений
+4%% Burning Duration,+4%% к длительности горения
+4%% Chill Duration,+4%% к длительности озноба
+4%% Confusion Duration,+4%% к длительности замешательства
+4%% Fury Duration,+4%% к длительности ярости
+4%% Might Duration,+4%% к длительности мощи
+4%% Poison Duration,+4%% к длительности яда
+4%% Protection Duration,+4%% к длительности защиты
+4%% Quickness Duration,+4%% к длительности скорости
+4%% Regeneration Duration,+4%% к длительности регенерации
+4%% Swiftness Duration,+4%% к длительности Спешки
+4%% Torment Duration,+4%% к длительности Мучения
+40 Concentration,+40 Концентрация
+5 Agony Infusion Upgrades,+5 улучшений инфузии агонии
+5 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +5
+5 Agony Resistance,+5 Сопротивление агонии
"+5 Agony ResistanceThe next time you would be downed, instead heal 25%% of your total health.",+5 к сопротивлению агонииПри следующем падении вы исцеляете 25%% от максимального запаса здоровья.
+5 to All Stats,+5 ко всем характеристикам
+5%% Boon Duration,+5%% к длительности благословений
+5%% Condition Damage,+5%% к урону от состояний
+5%% Condition Duration,+5%% к длительности состояний
+5%% condition duration.,+5%% длительности состояний.
+5%% Critical Chance,+5%% к шансу критического удара
+5%% Damage,+5%% к урону
+5%% damage against monsters. <c=@reminder>Will be removed if you enter competitive PvP or a raid.</c>,"+5%% урона монстрам. <c=@reminder>Будет удалено, если вы войдёте в соревновательное PvP или рейд.</c>"
+5%% damage vs outlaws,+5%% урона преступникам
+5%% Experience Public Banner[s],Общее знамя «+5%% к опыту»
+5%% Fear Duration,+5%% длительности страха
+5%% Gold from Kills Banner[s],[Знамя|Знамени|Знамён] «+5%% к золоту за убийства»
+5%% Gold Tax,+5%% налог на золото
+5%% Increase to Map Bonus,+5%% увеличение бонуса карты
+5%% Influence for 24 Hrs.,+5%% влияния на 24 часа.
+5%% Karma Banner[s],+5%% знам[я|ени|ён] кармы
+5%% Karma from Events for 3 Days,+5%% кармы за события на 3 дня
+5%% Kill Exp for 24 Hours,+5%% опыта за убийства на 24 часа
+5%% WvW Reward Track Gain,+5%% к прогрессу наград WvW
+50 Condition Damage,+50 Урон от состояний
+50 Ferocity,+50 Свирепость
+50 Healing,+50 Исцеление
+50 Healing Power,+50 Сила исцеления
+50 Power,+50 Сила
+50 Precision,+50 Точность
+50 Toughness,+50 Стойкость
+50 Vitality,+50 Живучесть
+50%% chance of crafting critical experience gain.,+50%% к шансу критического успеха в ремесле.
+50%% Crafting Critical Chance Boost,+50%% к шансу критического успеха в ремесле
+50%% damage and knockback. 20%% chance to break.,+50%% к урону и отталкиванию. 20%% шанс сломать.
+50%% damage on next attack.,+50%% к урону при следующей атаке.
+50%% Magic Find+50%% Experience Gain (All Sources)+30%% WvW Reward Track Progress+30%% PvP Reward Track Progress,+50%% Поиск магии+50%% Получение опыта (все источники)+30%% Прогресс наградного пути WvW+30%% Прогресс наградного пути PvP
+6 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +6
+6 Agony Resistance,+6 Сопротивление агонии
+6 to All Stats,+6 ко всем характеристикам
+6%% Bleeding Duration,+6%% к длительности кровотечения
+6%% Boon Duration,+6%% к длительности благословений
+6%% Burning Duration,+6%% к длительности горения
+6%% Chill Duration,+6%% к длительности озноба
+6%% Condition Duration,+6%% к длительности состояний
+6%% Confusion Duration,+6%% к длительности замешательства
+6%% Fury Duration,+6%% к длительности ярости
+6%% Might Duration,+6%% к длительности мощи
+6%% Poison Duration,+6%% к длительности отравления
+6%% Protection Duration,+6%% к длительности защиты
+6%% Regeneration Duration,+6%% к длительности регенерации
+6%% Swiftness Duration,+6%% к длительности стремительности
+6%% Torment Duration,+6%% к длительности мучения
+6%% Weakness Duration,+6%% к длительности слабости
+60 Power for 30 Seconds on Kill +10%% Experience from Kills,+60 к силе на 30 секунд при убийстве+10%% к опыту за убийства
+65 Condition Damage,+65 Урон от состояний
+65 Ferocity,+65 Свирепость
+65 Healing,+65 Исцеление
+65 Power,+65 Сила
+65 Precision,+65 Точность
+65 Toughness,+65 Стойкость
+65 Vitality,+65 Живучесть
+7 Agony Infusion Upgrades,+7 улучшений инфузии агонии
+7 Agony Infusion[s],[Инфузия|Инфузии|Инфузий] агонии +7
+7 Agony Resistance,+7 Сопротивление агонии
+7 Attack,+7 к атаке
+7 attack,+7 к атаке
+7 to All Stats,+7 ко всем характеристикам
+7%% Boon Duration,+7%% к длительности эффектов
+7%% condition duration.,+7%% к длительности состояний.
+7%% Critical Chance,+7%% к шансу критического удара
+7%% Fear Duration,+7%% длительности страха
