english,translate
Malfunctioning Toy Griffon,Неисправный игрушечный грифон
Malfunctioning Toy Soldier,Неисправный игрушечный солдатик
Malia,Малия
Malice Swordshadow,Меч-тень злобы
Malik Pathwalker,Малик Путник
Malik the Destroyer,Малик Разрушитель
Malloy,Маллой
Mallus the Impure,Маллус Нечистый
Mallyx,Малликс
Malomedies,Маломедиес
Malorus Sweepshot,Малорус Широкострел
Malrona,Малрона
Malumres,Малумрес
Malyck,Малик
MAMA,МАМА
Mama Shi,Мама Ши
Mamoru,Мамору
Managing Embalmer,Управляющий бальзамировщик
Manchatl,Манчатль
Mangjeol Dae,Манджеол Дэ
Mangonel Gearstrip,Мангонель Шестерёнка
Manica,Маника
Manikaz,Маниказ
Manikk,Маникк
Manservant Kanu,Слуга Кану
Mara Ripsaw,Мара Рваная Пила
Marat,Марат
Marcela Oakaxe,Марсела Дубовый Топор
Marcello DiGiacomo,Марчелло ДиДжакомо
Marcus,Маркус
Marcy,Марси
Marden,Марден
Marghel Talekeeper,Маргел Хранитель Сказаний
Margora,Маргора
Marii,Марии
Marinos,Маринос
Marinus,Маринус
Maris Spiritbane,Марис Спиритбейн
Marisa,Мариса
Marit Tonleig,Марит Тонлейг
Marius,Мариус
Marjie,Марджи
Marjory,Марджори
Marjory Delaqua,Марджори Делаква
Marjory's Helper Dee,Помощник Марджори Ди
Mark I Assistant Golemite,Вспомогательный големит Марк I
Mark I Defense Golem,Оборонительный голем Марк I
Mark I Digger Golem,Бурильный голем Марк I
Mark I Golem,Голем Марк I
Mark I Golemite,Големит Марк I
Mark II Beta Exterminator Golem,Истребительный голем Марк II Бета
Mark II Golem,Голем Марк II
Mark II Search Golem,Поисковый голем Марк II
Mark III Power Golem,Энергетический голем Марк III
Mark III Suppressor Golem,Подавляющий голем Марк III
Mark J Assault Golem,Штурмовой голем Марк J
Mark K Battle Golem,Боевой голем Марк K
Mark P Battle Golem,Боевой голем Марк P
Mark P Support Golem,Голем поддержки Марк P
