english,translate
"""I...have this deep-seated fear of them. To get over my fear, I want to live with them, learn what makes them tick. It may not make much sense, but I feel like understanding them might help.""","«У меня... глубоко укоренился страх перед ними. Чтобы преодолеть свой страх, я хочу жить с ними, узнать, что ими движет. Возможно, это не имеет особого смысла, но я чувствую, что понимание их может помочь»."
"""ITY-R67 """"Itty""""""","""ITY-R67 """"Итти"""""""
"""Iberu, We Hardly Knew You""","«Иберу, мы едва тебя знали»"
"""Ibli and I are ready. Just as the jungle provided them to us, she now provides us to them.""","«Ибли и я готовы. Так же, как джунгли предоставили их нам, теперь она предоставляет нас им»."
"""Ice Raking's will shapes the path of kodan. Through strength, we walk steadfast and profound. My services are available if you desire.""","«Воля Ледяного Рейкинга формирует путь Кодана. Благодаря силе мы идем стойко и глубоко. Мои услуги доступны, если вы желаете»."
"""Ice Shot, Chill Duration, Radius Damage""","«Ледяной выстрел, продолжительность охлаждения, радиус урона»"
"""Ice drakes have a unique biology, considering they are a cold-blooded creature that lives in arctic climates. They can breathe ice to attack their prey. —Acht""","«Ледяные змеи обладают уникальной биологией, учитывая, что они хладнокровные существа, обитающие в арктическом климате. Они могут дышать льдом, чтобы атаковать свою добычу. — Ахт»"
"""Icebrood construct pulses a volatile aura that deals damage every 3 seconds to all foes within a range of 2,000.""","«Конструкция Icebrood излучает нестабильную ауру, которая каждые 3 секунды наносит урон всем противникам в радиусе 2000»."
"""Identity: RST-417 """"Rusty."""" Ignore.""",«Идентификация: RST-417 «Ржавый». «Игнорировать».
"""If 10 or more crystal pylons are active, a lightning field will activate.""","«Если активны 10 или более кристальных пилонов, активируется поле молний»."
"""If I buy from the Itzel at ten percent, and then sell to the Zopatl at a markup...hmm.""","«Если я куплю у Ицеля под десять процентов, а затем продам Зопатлю с наценкой… хм»."
"""If I could replicate Zinn's terraformer, I could be famous!""","«Если бы я мог воспроизвести терраформер Зинна, я мог бы прославиться!»"
"""If I die today, I'm taking a few of these lousy horse-men with me.""","«Если я умру сегодня, я заберу с собой нескольких этих паршивых всадников»."
"""If I don't blow off some steam, I'm getting in a fight.""","«Если я не выпущу пар, я вступлю в драку»."
"""If I find more, I'll bring them.""","«Если я найду ещё, я принесу их»."
"""If I find you, butterball, I'm gonna tear you apart!""","«Если я найду тебя, шарик, я разорву тебя на части!»"
"""If I had a sword, I'd be fighting centaurs right alongside you.""","«Если бы у меня был меч, я бы сражался с кентаврами рядом с тобой»."
"""If I had access to my workshop, I could take these varmints out in no time. Boom!""","«Если бы у меня был доступ в мою мастерскую, я бы мгновенно расправился с этими мерзавцами. Бум!»"
"""If I have to eat boiled yams one more day, I may go mad.""","«Если мне придётся есть вареный ямс ещё один день, я могу сойти с ума»."
"""If I help, it's because I want to, not because you gave me an order.""","«Если я помогаю, то потому, что хочу, а не потому, что ты мне приказал»."
"""If I knew that, I'd be done by now. The dredge may be a good place to start. They often take Deldrimor parts for their projects. Though dealing with them may take some...creative persuasion, let's say.""","«Если бы я это знал, я бы уже закончил. Землечерпалка может быть хорошим местом для начала. Они часто берут детали Делдримора для своих проектов. Хотя работа с ними может потребовать некоторого… творческого убеждения, скажем так»."
"""If I need to kill you and every other jotun here to get Korag's attention, so be it.""","«Если мне нужно убить тебя и всех остальных йотунов здесь, чтобы привлечь внимание Корага, пусть будет так»."
"""If I run into her, I'll see what I can do. Good luck.""","«Если я столкнусь с ней, я посмотрю, что можно сделать. Удачи»."
"""If I see so much as one droopy eye, you're out. Understood?""","«Если я увижу хотя бы один опущенный глаз, ты выбываешь. Понятно?»"
"""If I stand on this... Right, step on those other runes. That should deactivate the traps.""","«Если я встану на это... Хорошо, наступи на другие руны. Это должно деактивировать ловушки»."
"""If I told you, I'd have to kill you. Trust me when I say she'll earn her place on the Stone warband—if she survives. See you around.""","«Если бы я сказал тебе, мне пришлось бы тебя убить. Поверь мне, когда я скажу, что она заслужит свое место в отряде Камня — если выживет. Увидимся»."
"""If I wanted excuses, I'd ask you for them. Now, get this golem working!""","«Если бы мне нужны были оправдания, я бы попросил их у тебя. А теперь заставь этого голема работать!»"
"""If I wanted to gamble the few coins I have on a chance at a windfall, I'd just head to the casino.""","«Если бы я хотел поставить те немногие монеты, которые у меня есть, на шанс получить непредвиденную прибыль, я бы просто отправился в казино»."
"""If I was on the cliffs, I would be safe from any tidal waves that crashed on the Coast. It would be a disaster if you couldn't find any launch pads in time.""","«Если бы я был на скалах, я был бы в безопасности от любых приливных волн, которые обрушивались на побережье. Было бы катастрофой, если бы вы не смогли вовремя найти стартовые площадки»."
"""If I was participating in Hunger Royale, a Wild idea would be to hang around a potato farm.""","«Если бы я участвовал в «Королевском голоде», дикой идеей было бы слоняться по картофельной ферме»."
"""If I were a troll, I'd hide my runestones somewhere around here. If you find one, grab it and run!""","«Если бы я был троллем, я бы спрятал свои рунные камни где-нибудь здесь. Если найдёшь, хватай и беги!»"
"""If I were the queen, gods bless her, I'd flood this valley with Seraph and get rid of centaurs once and for all.""","«Если бы я была королевой, да благословят её боги, я бы наводнила эту долину Серафимами и избавилась бы от кентавров раз и навсегда»."
"""If I'd known this job was going to involve so much digging, I'd have stayed in the family book cart business.""","«Если бы я знал, что эта работа потребует так много раскопок, я бы остался заниматься семейным бизнесом по производству книжных тележек»."
"""If I'm going to stop the Inquest, I'm going to need help. That's where you come in.""","«Если я собираюсь остановить дознание, мне понадобится помощь. Вот тут-то и пригодится ты»."
"""If I'm right, the unnatural means by which they were created, already at full maturity, has kicked their aging processes into overdrive.""","«Если я прав, неестественные средства, с помощью которых они были созданы, уже в полной зрелости, ускорили процессы их старения»."
"""If I've gotta chase one more of those spooky earth muffins out of here, I'm gonna quit! I swear!""","«Если мне придётся выгнать отсюда ещё одного из этих жутких земляных кексов, я уйду! Клянусь!»"
"""If Jhavi thinks he can do it, I'm not gonna argue with her.""","«Если Джави думает, что сможет это сделать, я не буду с ней спорить»."
"""If King Joko is testing us, it's a very thorough test.""","«Если король Джоко и проверяет нас, то это очень тщательное испытание»."
"""If Magnus' lion-goons can't protect my shipments, it only makes good business sense to recruit a force all my own.""","«Если львы-головорезы Магнуса не смогут защитить мои грузы, то имеет смысл набрать собственные силы»."
"""If Malyck is the """"Harbinger"""" that the Nightmare Court seek, then you must keep him from their clutches. At all costs.""","«Если Малик — «Предвестник», которого ищет Кошмарный двор, то ты должен уберечь его от их когтей. Любой ценой»."
"""If Mordremoth could attack the Mother Tree in the Grove, it can attack anywhere.""","«Если Мордремот мог атаковать Материнское Древо в Роще, то он сможет атаковать где угодно»."
"""If Mordremoth wants war, let's grant its wish.""","«Если Мордремот хочет войны, давайте исполним его желание»."
"""If North Nolan Hatchery falls to the Molten Alliance, it will disrupt the charr's war efforts.""","«Если Норт-Ноланский инкубаторий перейдёт под контроль Огненного Альянса, это подорвет военные усилия чарров»."
"""If Sergeant Hal knows something about the fall of Falcon Company, it was troubling enough that he requested a transfer. Hopefully, speaking to him will clear this up.""","«Если сержант Хэл что-то знает о падении роты «Сокол», то это настолько тревожно, что он попросил о переводе. Надеюсь, разговор с ним прояснит ситуацию»."
"""If Suwash makes me rich, I'll follow him to the ends of Tyria. But if he wastes the best years of my life, he'll wake up one day with a shiv in his back.""","«Если Суваш сделает меня богатым, я последую за ним до конца Тирии. Но если он потратит впустую лучшие годы моей жизни, однажды он проснется с заточкой в ??спине»."
"""If Ventari's Tablet has not been summoned, summon it at your location; otherwise, gain tranquility. Grant boons to allies around the tablet. Gain energy depending on the number of allies affected by this skill (excluding yourself). For each point of affinity, boon duration is increased.""","«Если Табличка Вентари не была призвана, призовите её в своем месте; в противном случае обретите спокойствие. Даруйте блага союзникам вокруг таблички. Получите энергию в зависимости от количества союзников, на которых действует это умение (кроме вас самих). За каждое очко близости продолжительность блага увеличивается»."
"""If Zhaitan's going to attack the city, its minions will have to fight their way past the fort.""","«Если Зайтан собирается напасть на город, его приспешникам придётся пробиваться через форт»."
"""If a boss has a challenge mode, the challenge mode must be enabled to earn credit for this achievement, and it cannot be done with Emboldened enabled. Ura must be done in legendary mode.""","«Если у босса есть режим испытания, его необходимо включить, чтобы получить зачёт за это достижение, и это невозможно сделать, если включена «Ободренность». Ура необходимо выполнять в легендарном режиме»."
"""If a boss has a challenge mode, the challenge mode must be enabled to earn credit for this achievement, and it cannot be done with Emboldened enabled.""","«Если у босса есть режим испытания, его необходимо включить, чтобы получить зачёт за это достижение, и это невозможно сделать с включенным режимом «Ободрение»."
"""If a gold chicken exists, where would it hide in a golden city?""","«Если золотая курица существует, где она будет прятаться в золотом городе?»"
"""If a guard spots us, he'll call for others. We would do well to avoid them entirely.""","«Если охранник нас заметит, он позовет других. Нам следует полностью избегать их»."
"""If an invasion's really coming, we'll need everyone on the island to hold the line.""","«Если вторжение действительно приближается, нам понадобится, чтобы все на острове держали оборону»."
"""If and when our paths intersect again, I plan to make you regret this.""","«Если и когда наши пути снова пересекутся, я планирую заставить тебя пожалеть об этом»."
"""If any of us show signs of...faltering, the others will do what needs to be done.""","«Если кто-то из нас проявит признаки… нерешительности, остальные сделают то, что нужно»."
"""If anyone knows how to defeat Zhaitan, it is the Mother. Meet me at the Grove, and we'll speak with her before the battle.""","«Если кто и знает, как победить Зайтана, так это Мать. Встретимся в Роще, и мы поговорим с ней перед битвой»."
"""If anyone tries to follow me, kill them.""","«Если кто-нибудь попытается следовать за мной, убей его»."
"""If anyone's worthy to challenge some ghosts, it's me.""","«Если кто и достоин бросить вызов призракам, так это я»."
"""If anything, you almost lost us the fish, when you dropped the gaff.""","«Во всяком случае, ты чуть не потерял нам рыбу, когда уронил багр»."
"""If checked, the key bind associated with """"Show Ally Names"""" can be held down to display any hidden UI elements.""","«Если этот флажок установлен, привязку клавиш, связанную с «Показать имена союзников», можно удерживать нажатой, чтобы отобразить любые скрытые элементы пользовательского интерфейса»."
"""If checked, the key bind associated with """"Show Ally Names"""" can be held down to show the mouse cursor with high contrast.""","«Если этот флажок установлен, можно удерживать нажатой клавишу, связанную с «Показать имена союзников», чтобы курсор мыши отображался с высокой контрастностью»."
"""If dealing with plants isn't your style, Gentle Heron always has his hands full feeding the villagers. I think he'd appreciate assistance in making meals for the hungry.""","«Если вам не нравится заниматься растениями, Джентл Цапля всегда занята кормлением жителей деревни. Думаю, он будет признателен за помощь в приготовлении еды для голодных»."
