english,translate
Mental Anguish,Mental Anguish
Mental Defense,Mental Defense
Mental Focus,Mental Focus
Mental Gymnastics,Mental Gymnastics
Merciful Ambush,Merciful Ambush
Mercurial Tendencies,Mercurial Tendencies
Merged Boon Extension,Merged Boon Extension
Metaphysical Rejuvenation,Metaphysical Rejuvenation
Method of Madness,Method of Madness
Meticulous Custodian,Meticulous Custodian
Might Makes Right,Might Makes Right
Might applied to you grants more power. Your critical-hit chance is increased.,Дарованная вам мощь даёт больше силы. Вы имеете увеличенный шанс на критическое попадание.
Might grants you more power and less condition damage. Gain might when using a legendary stance skill.,"Мощь даёт вам больше силы и меньше урона от состояний. Вам даруется мощь, когда вы используете умения легенд."
Might grants you more power. Gain might when entering shroud.,"Мощь ещё больше увеличивает вашу силу. Вам даруется мощь, когда вы входите в Саван."
Might of the Protector,Might of the Protector
"Mighty Blow becomes Glacial Blow. Heal when you disable, immobilize, or chill a foe.","Mighty Blow становится Ледяным ударом. Исцеляет вас при наложении на врага эффектов контроля, обездвиживания или охлаждения."
Minimum Bonus Damage,Minimum Bonus Damage
Minion Heal,Minion Heal
Minion Life Steal,Minion Life Steal
"Minions deal more damage and take conditions from you. When a minion attacks, it transfers conditions to its target.
<c=@reminder>There is a 10 second cooldown per minion.</c>","Миньоны наносят больше урона и забирают ваши состояния. При атаке миньон передает состояния своей цели.
<c=@reminder>Для каждого миньона действует 10-секундная перезарядка.</c>"
Mirage Cloak increases your movement speed.,Mirage Cloak increases your movement speed.
Mirage Mantle,Mirage Mantle
Missile Hits Required,Missile Hits Required
"Missile hits launch a rocket at your target. After enough rockets have been fired, an orbital strike is called instead.
<c=@reminder>This trait has an internal cooldown.</c>","Попадания снарядов запускают ракету в вашу цель. После определенного количества выпущенных ракет вызывается орбитальный удар.
<c=@reminder>У этой черты есть внутренняя перезарядка.</c>"
Mistfire,Mistfire
Modified Ammunition,Modified Ammunition
Moment of Clarity,Moment of Clarity
Monk's Focus,Monk's Focus
Morph. Briefly block incoming attacks.,Morph. Briefly block incoming attacks.
Morph. Convert damaging conditions to barrier and nondamaging conditions to protection.,"Морф. Преобразует наносящие урон состояния в барьер, а ненаносящие — в протекцию."
Morph. Create a giant blade to maim your enemy. This attack destroys the barrier of enemies hit.,"Морф. Создает гигантский клинок, чтобы покалечить врага. Эта атака разрушает барьер пораженных врагов."
"Morph. Grow protective spikes, damaging nearby enemies. For a short duration, the spikes react when you are struck, damaging nearby enemies again.","Морф. Выращивает защитные шипы, нанося урон ближайшим врагам. В течение короткого времени шипы реагируют на удары по вам, снова нанося урон ближайшим врагам."
"Morph. Launch cutting disks at your enemies, piercing enemies in their path. Enemies struck are crippled; if an enemy is struck by all three disks, they are immobilized.","Морф. Запускает режущие диски в ваших врагов, пронзая их на своем пути. Пораженные враги получают эффект увечья; если враг поражен всеми тремя дисками, он обездвиживается."
"Morph. Spin around a hunk of metal, then finish with a forward smash.","Морф. Вращает кусок металла, завершая атаку мощным ударом вперёд."
"Morph. Thrust forward with a spike, piercing the defense of your foe.","Морф. Выпад шипом вперёд, пронзающий защиту вашего врага."
Motivation Stacks,Motivation Stacks
Movement skills grant resistance.,Movement skills grant resistance.
Movement skills grant swiftness and increase flow rate.,Movement skills grant swiftness and increase flow rate.
Movement skills grant you swiftness and endurance.,Movement skills grant you swiftness and endurance.
Movement skills grant boons and adrenaline when used.,Movement skills grant boons and adrenaline when used.
Mug,Mug
Natural Balance,Natural Balance
Natural Fortitude,Natural Fortitude
Natural Mender,Natural Mender
Natural Vigor,Natural Vigor
Nature's Shield,Nature's Shield
Nature's Vengeance,Nature's Vengeance
Nearby allies gain boons for each clone you shatter. Grant boons to nearby allies when you summon a <c=@abilitytype>phantasm</c>.,"Союзники поблизости получают дары за каждого клона, разбитого вами на осколки. Вы даруете рвение союзникам поблизости, когда создаете фантом. <c=@abilitytype>фантазма</c>."
Nearby allies gain the passive effect of Virtue skill 2.,Nearby allies gain the passive effect of Virtue skill 2.
Nearby foes are blinded by <c=@abilitytype>Beast</c> abilities.,Умения зверя ослепляют противников поблизости. <c=@abilitytype>Зверя</c>.
Necromantic Corruption,Necromantic Corruption
Nefarious Favor Cooldown Increase,Nefarious Favor Cooldown Increase
Nefarious Favor now burns nearby enemy targets.,Nefarious Favor now burns nearby enemy targets.
New Genes,New Genes
New combat subroutines enable your mech to use Rocket Punch when you activate Skill 3 on your equipped weapon. Your mech gains a greater percentage of your own toughness and vitality stats.,"Новые боевые подпрограммы дают вашему Меху возможность использовать умение Rocket Punch, когда вы активируете 3-е умение вашего оружия. Мех наследует повышенную часть вашей Прочности и Живучести."
Next attack weakens enemies.,Next attack weakens enemies.
No Escape,No Escape
No Scope,No Scope
No-Clone Heal,No-Clone Heal
Nomad's Endurance,Nomad's Endurance
Notes Granted,Notes Granted
Notoriety,Notoriety
Nourishing Ashes,Nourishing Ashes
Numinous Gift,Numinous Gift
Oakheart Salve,Oakheart Salve
One in the Chamber,One in the Chamber
One with Air,One with Air
One-Clone Heal,One-Clone Heal
Opening Strike,Opening Strike
Opening Strike has an increased chance to critically strike.,Opening Strike has an increased chance to critically strike.
Oppressive Superiority,Oppressive Superiority
Optimized Activation,Optimized Activation
Other Legend Healing,Other Legend Healing
Outgoing Damage Adjustment,Outgoing Damage Adjustment
Outgoing physical damage is increased.,Outgoing physical damage is increased.
Over Shield,Over Shield
Overflowing Thirst,Overflowing Thirst
"Overheat now blasts damage to nearby foes and no longer deals its initial damage to you. The tool belt recharge penalty for Overheat is reduced. Heat can only be lost after overheating.
<c=@reminder>Damage over time from Overheat is still applied.</c>","Перегрев теперь наносит взрывной урон ближайшим врагам и больше не наносит начальный урон вам. Штраф к перезарядке навыков пояса за Перегрев снижен. Тепло можно сбросить только после перегрева.
<c=@reminder>Периодический урон от Перегрева все ещё накладывается.</c>"
"Overload. Create a surge of accumulated water magic, healing and cleansing allies. When the cast ends, heal the area and apply regeneration.Using this skill causes the attunement to have a longer recharge.","Перегрузка. Создайте всплеск накопленной магии воды, исцеляя и очищая союзников. По завершении произнесения исцелите область и наложите регенерацию.Использование этого навыка увеличивает время перезарядки настройки."
"Overload. Ride your stored earth magic around, granting protection to other allies you move over and crippling enemies, then deliver a final immobilizing blast of power to the area, leaving behind a dust cyclone that delivers the same effects as the overload.Using this skill causes the attunement to have a longer recharge.","Перегрузка. Оседлайте накопленную магию земли, даруя протекцию союзникам, мимо которых вы проходите, и накладывая увечье на врагов, а затем нанесите финальный обездвиживающий удар по области, оставляя пылевой циклон, который даёт те же эффекты, что и перегрузка.Использование этого навыка увеличивает время перезарядки настройки."
"Overload. Unleash your flames, granting might to allies and burning enemies. Finishing the cast creates a tornado that continues to grant might and burn foes.Using this skill causes the attunement to have a longer recharge.","Перегрузка. Высвободите пламя, даруя мощь союзникам и поджигая врагов. Завершение произнесения создает торнадо, который продолжает даровать мощь и поджигать врагов.Использование этого навыка увеличивает время перезарядки настройки."
"Overload. Use your air magic to summon a nimbus that repeatedly strikes nearby enemies. When this ability is complete, imbue your allies with electricity and create a lingering static region that strikes enemies at the same interval.Using this skill causes the attunement to have a longer recharge.","Перегрузка. Используйте магию воздуха, чтобы призвать нимб, который неоднократно поражает ближайших врагов. Когда эта способность завершается, наделите союзников электричеством и создайте остаточную статическую область, которая поражает врагов с тем же интервалом.Использование этого навыка увеличивает время перезарядки настройки."
Pack Alpha,Pack Alpha
Pact of Pain,Pact of Pain
Pages,Pages
Pain Response,Pain Response
Panaku's Ambition,Panaku's Ambition
Panic Strike,Panic Strike
Parasitic Contagion,Parasitic Contagion
Path of Corruption,Path of Corruption
Payback,Payback
Peak Performance,Peak Performance
Percent Recharged on Interrupt,Percent Recharged on Interrupt
Percentage per Ally,Percentage per Ally
Perfect Inscriptions,Perfect Inscriptions
Perilous Skies,Perilous Skies
Periodically gain Soldier's Focus. Hitting with a burst skill expends Soldier's Focus to grant might to nearby allies.,Периодически даёт Сосредоточенность Солдата. Попадания с помощью вспышек ярости позволяют Сосредоточенности Солдата давать мощь союзникам поблизости.
Periodically gain barrier for each unique boon you have.,Periodically gain barrier for each unique boon you have.
Permeating Pestilence,Permeating Pestilence
Permeating Wrath,Permeating Wrath
Persistence of Memory,Persistence of Memory
Persistent Blessing,Persistent Blessing
Persisting Flames,Persisting Flames
Personal Duration,Personal Duration
Pet Damage Increase,Pet Damage Increase
Pet Skill Recharge,Pet Skill Recharge
Pet's Prowess,Pet's Prowess
Phalanx Strength,Phalanx Strength
Phantasm damage increased per stack.,Phantasm damage increased per stack.
Phantasmal Force,Phantasmal Force
Phantasmal Fury,Phantasmal Fury
Phantasmal Haste,Phantasmal Haste
Phantasms that successfully complete their attack launch a blade at their target and grant you fury when they expire.,"Фантомы, которые провели успешную атаку, бросают в свою цель клинок и даруют вам Ярость, когда исчезают."
Phantom Pain,Phantom Pain
Phoenix Protocol,Phoenix Protocol
Photon Forge reduces incoming damage but has increased passive heat generation.,"Photon Forge уменьшает получаемый вами урон, но имеет увеличенный эффект пассивного нагрева."
Photon Forge replaces your tool belt skill 5. Gain access to <c=@abilitytype>Exceed</c> skills.,Photon Forge заменяет навык 5 вашего пояса инструментов. Даёт доступ к навыкам типа <c=@abilitytype>Превышение</c>.
"Photon Forge skill 1 now fires explosive projectiles, but generates extra heat.","Навык 1 Photon Forge теперь выпускает взрывные снаряды, но генерирует дополнительное тепло."
Photon Projector,Photon Projector
Photonic Blasting Module,Photonic Blasting Module
Physical Supremacy,Physical Supremacy
Physical. Cause a rupture that deals massive damage when this skill ends. This ability cannot critically hit.,"Физический. Вызывает разлом, наносящий огромный урон по окончании действия навыка. Эта способность не может нанести критический удар."
Piercing Shards,Piercing Shards
Pinnacle of Strength,Pinnacle of Strength
Pistol Proficiency,Pistol Proficiency
Pistol skills gain reduced recharge. Gain expertise based on your vitality.,Умения пистолета перезаряжаются быстрее. Ваша Сноровка увеличивается в зависимости от вашей Живучести.
Plague Sending,Plague Sending
Planar Protection,Planar Protection
Poison Damage Increase,Poison Damage Increase
Poison Master,Poison Master
Poison damage is increased. Applying poison grants <c=@abilitytype>carapace</c>.,Урон от отравления увеличен. Накладывание отравления даёт вам панцирь. <c=@abilitytype>панцирь</c>.
Poison you inflict has increased damage and duration. Other Deadly Arts traits apply additional stacks of poison.,"Отравление, вызванное вами, длится дольше и наносит больше урона. Другие черты Смертельных Искусств накладывают дополнительные стеки отравления."
Possessive Hoarder,Possessive Hoarder
Potent Poison,Potent Poison
Power,Power
