english,translate
Xanthium of Dreams,Ксантиум снов
Xera's Backpiece,Наспинный аксессуар Ксеры
Xera's Coffer,Ларь Ксеры
Xera's Mask,Маска Ксеры
Xera's Mask Skin,Облик маски Ксеры
Xera's Scepter,Скипетр Ксеры
Xoul Igra Zhoss Elegy Mosaic,Мозаика элегии Ксоул Игра Жосс
Xunlai Aether Detector,Детектор эфира Сюньлай
Xunlai Deep-Mining Hand Drill,Ручная дрель для глубокой добычи Сюньлай
Xunlai Electrum Ingot,Слиток электрума Ксунлай
Xunlai Nephrite Crusher,Дробилка нефрита Сюньлай
Xunlai Security Stun Club,Электрошоковая дубинка Службы безопасности Сунлай
Yakkington's Chestguard,Нагрудник Яккингтона
Yakkington's Gauntlets,Рукавицы Яккингтона
Yakkington's Greaves,Наголенники Яккингтона
Yakkington's Helm,Шлем Яккингтона
Yakkington's Legplates,Ножные латы Яккингтона
Yakkington's Pauldrons,Наплечники Яккингтона
Yakkington's Ring,Кольцо Яккингтона
Yakkington's Ring (Infused),Кольцо Яккингтона (Инфузированное)
Yam,Ямс
Yam Fritter,Оладья из ямса
Yam Slip Pouch,Мешочек с ямсом
"Yasfahr, the Rune of Sacrifice","Ясфар, руна жертвоприношения"
Yasna's Notes,Записки Ясны
Yassith's Armor Recipe Book,Книга рецептов брони Яссита
Yassith's Artifact,Артефакт Яссита
Yassith's Bastion,Бастион Яссита
Yassith's Blade,Клинок Яссита
Yassith's Brazier,Жаровня Яссита
Yassith's Breastplate,Нагрудник Яссита
Yassith's Breeches,Штаны Яссита
Yassith's Claymore,Клеймор Яссита
Yassith's Cloth Breather,Тканевая дыхательная маска Яссита
Yassith's Doublet,Дублет Яссита
Yassith's Epaulets,Эполеты Яссита
Yassith's Flanged Mace,Фланцевая булава Яссита
Yassith's Footwear,Обувь Яссита
Yassith's Greatbow,Большой лук Яссита
Yassith's Greaves,Наголенники Яссита
Yassith's Grips,Хваты Яссита
Yassith's Guise,Личина Яссита
Yassith's Harpoon Gun,Гарпунное ружьё Яссита
Yassith's Herald,Глашатай Яссита
Yassith's Impaler,Пронзатель Яссита
Yassith's Leather Breather,Кожаная дыхательная маска Яссита
Yassith's Leggings,Поножи Яссита
Yassith's Masque,Маска Яссита
Yassith's Metal Breather,Металлическая дыхательная маска Яссита
Yassith's Musket,Мушкет Яссита
Yassith's Pauldrons,Наплечники Яссита
Yassith's Razor,Бритва Яссита
Yassith's Reaver,Жнец Яссита
Yassith's Revolver,Револьвер Яссита
Yassith's Short Bow,Короткий лук Яссита
Yassith's Shoulderguard,Наплечный доспех Яссита
Yassith's Spire,Шпиль Яссита
Yassith's Striders,Походные сапоги Яссита
Yassith's Tassets,Набедренники Яссита
Yassith's Trident,Трезубец Яссита
Yassith's Viper's Inscription,Гадючья гравировка Яссита
Yassith's Viper's Insignia,Гадючья инсигния Яссита
Yassith's Visage,Лик Яссита
Yassith's Visor,Забрало Яссита
Yassith's Wand,Жезл Яссита
Yassith's Warfists,Боевые рукавицы Яссита
Yassith's Warhammer,Боевой молот Яссита
Yassith's Weapon Recipe Book,Книга рецептов оружия Яссит
Yassith's Wristguards,Наручи Яссита
Yeast in Bulk,Дрожжи оптом
Yellow Color Study,Изучение жёлтого цвета
Yellow Commander's Compendium,Жёлтый сборник командира
Yellow Flower,Жёлтый цветок
Yellow Gentian Flower,Жёлтая горечавка
Yellow Leather Bag,Жёлтая кожаная сумка
Yellow Lion Dye,Краска «Жёлтый лев»
Yellow Lucky Rabbit's Foot,Жёлтая счастливая лапка кролика
Yellow Perch,Жёлтый окунь
Yellow Rock,Жёлтый камень
Yellow Sparaxis,Жёлтый спараксис
Yellowfish Sushi,Суши из жёлтой рыбы
Yellowtail Snapper,Жёлтохвостый луциан
Yeti Loot Box,Коробка с добычей йети
Yew Rod,Тисовый посох
"Yexxi the Stern
092 Tide 00XI
Knowledge","Йеккси Суровая
092 Прилив 00XI
Знание"
You and Your Springer,Вы и ваш Спрингер
Your Awakened Ancestor and You,Ваш Пробуждённый Предок и вы
Zaffre,Сапфировый
Zafirah's Rifle,Винтовка Зафиры
Zafirah's Rifle Skin,Облик винтовки Зафиры
Zaishen Relic,Реликвия Зайшена
Zaishen War Paint Kit,Набор боевой краски Зейшена
"Zaklem, the Rune of Loyalty","Заклем, руна верности"
Zalambur's Welcoming Package,Приветственный набор Залямбура
Zander,Зандер
Zane's Assaulter Memento,Сувенир штурмовика Зейна
Zap,Разряд
Zealot's,Ревнителя
Zealot's Aetherized Indigo Greatsword,Эфирный индиговый двуручный меч ревнителя
Zealot's Aetherized Indigo Hammer,Эфирный индиговый молот ревнителя
Zealot's Aetherized Indigo Staff,Эфирный индиговый посох ревнителя
Zebra Skimmer Kite,Воздушный змей «Зебра-скиммер»
Zehlon Ossa Elegy Mosaic,Мозаика элегии Зельон Осса
Zehtuka's Artifact,Артефакт Зехтуки
Zehtuka's Bastion,Бастион Зехтуки
Zehtuka's Blade,Клинок Зехтуки
Zehtuka's Brazier,Жаровня Зехтуки
Zehtuka's Breastplate,Нагрудник Зехтуки
Zehtuka's Breeches,Штаны Зехтуки
Zehtuka's Claymore,Клеймор Зехтуки
Zehtuka's Doublet,Дублет Зехтуки
Zehtuka's Epaulets,Эполеты Зехтуки
Zehtuka's Flanged Mace,Фланцевая булава Зехтуки
Zehtuka's Footwear,Обувь Зехтуки
Zehtuka's Greatbow,Большой лук Зехтуки
Zehtuka's Greaves,Наголенники Зехтуки
Zehtuka's Grips,Хваты Зехтуки
Zehtuka's Guise,Личина Зехтуки
Zehtuka's Harpoon Gun,Гарпунное ружьё Зехтуки
Zehtuka's Harrier Inscription,Гравировка вестника Зехтуки
Zehtuka's Harrier Insignia,Инсигния защитника Зетуки
Zehtuka's Herald,Глашатай Зехтуки
Zehtuka's Impaler,Пронзатель Зехтуки
Zehtuka's Leggings,Поножи Зехтуки
Zehtuka's Masque,Маска Зехтуки
Zehtuka's Musket,Мушкет Зехтуки
Zehtuka's Pauldrons,Наплечники Зехтуки
Zehtuka's Razor,Бритва Зехтуки
Zehtuka's Reaver,Жнец Зехтуки
Zehtuka's Revolver,Револьвер Зехтуки
Zehtuka's Short Bow,Короткий лук Зехтуки
Zehtuka's Shoulderguard,Наплечный доспех Зехтуки
Zehtuka's Spire,Шпиль Зехтуки
Zehtuka's Striders,Походные сапоги Зехтуки
Zehtuka's Tassets,Набедренники Зехтуки
Zehtuka's Trident,Трезубец Зехтуки
Zehtuka's Visage,Лик Зехтуки
Zehtuka's Visor,Забрало Зехтуки
Zehtuka's Wand,Жезл Зехтуки
Zehtuka's Warfists,Боевые рукавицы Зехтуки
Zehtuka's Warhammer,Боевой молот Зехтуки
Zehtuka's Wristguards,Наручи Зехтуки
Zenith Avenger Skin,Облик мстителя «Зенит»
Zenith Blade Skin,Облик клинка «Зенит»
Zenith Cesta Skin,Облик цесты «Зенит»
Zenith Flame,Пламя Зенита
Zenith Flame Skin,Облик пламени «Зенит»
Zenith Harbinger Skin,Облик предвестника «Зенит»
Zenith Impaler Skin,Облик пронзателя «Зенит»
Zenith Kris Skin,Облик криса «Зенит»
Zenith Mace,Булава Зенита
Zenith Mace Skin,Облик булавы «Зенит»
Zenith Pistol,Пистолет Зенита
Zenith Pistol Skin,Облик пистолета «Зенит»
Zenith Reaver Skin,Облик жнеца «Зенит»
Zenith Recurve Bow,Рекурсивный лук Зенита
Zenith Recurve Bow Skin,Облик изогнутого лука «Зенит»
Zenith Rifle,Винтовка Зенита
Zenith Rifle Skin,Облик винтовки «Зенит»
Zenith Scroll Skin,Облик свитка «Зенит»
Zenith Short Bow,Короткий лук Зенита
Zenith Short Bow Skin,Облик короткого лука «Зенит»
Zenith Spire,Шпиль Зенита
Zenith Spire Skin,Облик шпиля «Зенит»
Zenith Thunder Skin,Облик грома «Зенит»
Zenith Trident,Трезубец Зенита
Zenith Trident Skin,Облик трезубца «Зенит»
Zenith Wake Skin,Облик кильватера «Зенит»
Zenith Ward,Охрана Зенита
Zenith Ward Skin,Облик стража «Зенит»
Zephyr Rucksack,Рюкзак Зефира
Zephyr Rucksack Skin,Облик рюкзака Зефира
Zephyr Sanctum Model,Модель святилища Зефира
Zephyrite Axe,Топор зефирита
Zephyrite Box of Dreams,Зефиритовая коробка снов
Zephyrite Color Swatch: Blue,Образец цвета зефиритов: Синий
Zephyrite Color Swatch: Green,Цветовой образец зефирита: Зелёный
Zephyrite Color Swatch: Yellow,Образец зефиритного цвета: Жёлтый
Zephyrite Curio Box,Коробка диковинок Зефирита
Zephyrite Dagger,Кинжал зефирита
Zephyrite Fish Jerky,Вяленая рыба зефирита
Zephyrite Focus,Фокус зефирита
Zephyrite Greatsword,Двуручный меч зефирита
Zephyrite Hammer,Молот зефирита
Zephyrite Headband,Повязка зефиритов
Zephyrite Lightning Helm,Шлем молнии зефиритов
Zephyrite Longbow,Зефиритский длинный лук
Zephyrite Mace,Зефиритская булава
Zephyrite Paraglider,Зефиритский параплан
Zephyrite Paraglider Glider,Планёр «Параплан зефиритов»
Zephyrite Pistol,Зефиритский пистолет
Zephyrite Rescue Pack,Спасательный набор зефиритов
Zephyrite Rescue Recording,Спасательная запись зефиритов
Zephyrite Rifle,Зефиритская винтовка
Zephyrite Scepter,Зефиритский скипетр
Zephyrite Shawl,Шаль зефиритов
Zephyrite Shield,Зефиритский щит
Zephyrite Short Bow,Зефиритский короткий лук
Zephyrite Staff,Зефиритский посох
Zephyrite Sun Helm,Шлем солнца зефиритов
Zephyrite Supply Box,Коробка припасов зефиритов
Zephyrite Sword,Зефиритский меч
Zephyrite Torch,Зефиритский факел
Zephyrite Traveling Boots,Зефиритские дорожные сапоги
Zephyrite Warhorn,Зефиритский боевой рог
Zephyrite Wind Helm,Шлем ветра зефиритов
Zephyrite Writings,Писание зефиритов
Zest,Цедра
Zest Dye,Краска «Цедра»
Zhaitaffy Gobbler Pack,Набор «Пожиратель жайтаффи»
Zhaitaffy Gobbler's Blessing,Благословение пожирателя зайтаффи
Zhaitan Minion Loot Box,Коробка с добычей миньонов Зайтана
Zhaitan's Argument,Аргумент Зайтана
Zhaitan's Argument Skin,Облик «Аргумент Зайтана»
Zhaitan's Bite,Укус Зайтана
Zhaitan's Bite Skin,Облик «Укус Зайтана»
Zhaitan's Breath,Дыхание Зайтана
Zhaitan's Breath Skin,Облик «Дыхание Зайтана»
Zhaitan's Claw Skin,Облик «Коготь Зайтана»
Zhaitan's Fang,Клык Зайтана
Zhaitan's Fang Skin,Облик «Клык Зайтана»
Zhaitan's Flight,Полёт Зайтана
Zhaitan's Flight Skin,Облик «Полёт Зайтана»
Zhaitan's Gaze,Взгляд Зайтана
Zhaitan's Gaze Skin,Облик «Взгляд Зайтана»
Zhaitan's Insight,Проницательность Зайтана
Zhaitan's Insight Skin,Облик «Проницательность Зайтана»
Zhaitan's Persuasion,Убеждение Зайтана
Zhaitan's Persuasion Skin,Облик «Убеждение Зайтана»
Zhaitan's Rending,Раздирание Зайтана
Zhaitan's Rending Skin,Облик «Раздирание Зайтана»
Zhaitan's Scale,Чешуя Зайтана
Zhaitan's Scale Skin,Облик «Чешуя Зайтана»
Zhaitan's Tail,Хвост Зайтана
Zhaitan's Tail Skin,Облик «Хвост Зайтана»
Zhaitan's Voice,Голос Зайтана
Zhaitan's Voice Skin,Облик «Голос Зайтана»
Zhaitan's Weight,Вес Зайтана
