english,translate
"%str1%,

The theater productions are moving along swimmingly thanks to you. The troupe members are filled with excitement and enthusiasm, and they're brimming with confidence. This season could see some of our best performances yet. I know I speak for everyone when I say we would love to work with you again.","%str1%,

Благодаря вам работа над театральными постановками идет как по маслу. Члены труппы полны энтузиазма и уверенности в себе, и мы надеемся, что этот сезон станет одним из лучших за всю историю нашего театра. Я думаю, что говорю от имени всех, когда говорю, что мы будем рады снова с вами сотрудничать."
"%str1%, our people are truly grateful for your help.","%str1%, наш народ искренне благодарен вам за помощь."
"%str1%, thanks to your endeavors, the Inquest has lost both precious time and momentum in their ill-conceived research. Even though they outnumber us, we continually prove that brilliance trumps desperation. Keep up the good work.","%str1%, благодаря твоим усилиям Инквизиция потеряла драгоценное время и импульс в своих неудачных исследованиях. Хотя они превосходят нас числом, мы постоянно доказываем, что гениальность побеждает отчаяние. Продолжай в том же духе."
"%str1%, thanks to your endeavors, the Inquest has lost both precious time and momentum in their ill-conceived research. Even though they outnumber us, we continually prove that brilliance trumps desperation. Keep up the good work.

—Blopp","%str1%, благодаря вашим усилиям Inquest потеряли и драгоценное время, и импульс в своих неудачных исследованиях. Несмотря на то, что их больше, чем нас, мы постоянно доказываем, что блестящий ум побеждает отчаяние. Продолжайте в том же духе.

—Blopp"
"%str1%, what a pleasure to have worked with you. Although Dragon's influence continues to spread, with your help we've slowed the spread of his corruption. Thank you!","%str1%, как приятно было с вами работать. Хотя влияние Дракона продолжает распространяться, с вашей помощью мы замедлили распространение его осквернения. Спасибо!"
"%str1%, you are a proven friend of Michotl. Your efforts have helped our village and we offer our heartfelt thanks. Please come visit us again. You are welcome here any time.

—Huelic","%str1%, вы — проверенный друг Мичотль. Ваши усилия помогли нашей деревне, и мы приносим вам нашу сердечную благодарность. Пожалуйста, приходите к нам снова. Мы будем рады видеть вас в любое время.

—Huelic"
%str1%. I send you respectful regards and appreciation for your assistance with my scouts. You came at exactly the right moment.,%str1%. Я выражаю вам свое почтение и признательность за помощь моим разведчикам. Вы появились в самый нужный момент.
%str1%:,%str1%:
(A claw scratch marks the note's edge.),(Края записки отмечены следами когтей.)
"(The rest of the letter is almost entirely illegible, mostly just scribbles and primitive stick figures. It appears that Krug had trouble fitting this into the envelope. Still, a thank-you from an ettin is something to be treasured.)","(Остальная часть письма почти полностью неразборчива, в основном просто каракули и примитивные фигурки. Похоже, Krug было трудно втиснуть это в конверт. Тем не менее, благодарность от эттина — это то, что стоит ценить.)"
