english,translate
"Hammer and mace skills deal increased damage when striking a disabled or defiant foe. Gain adrenaline when you disable a foe.<br><c=@reminder>Disables include stun, taunt, daze, knockback, pull, knockdown, sink, float, fear, and launch.</c>","Навыки молота и булавы наносят увеличенный урон при ударе по обездвиженному или находящемуся в состоянии защиты противнику. Получайте адреналин, когда обездвиживаете противника.<br><c=@reminder>Обездвиживание включает оглушение, провокацию, ошеломление, отталкивание, притягивание, нокдаун, погружение, всплытие, страх и отбрасывание.</c>"
Increases Critical-Hit Chance,Увеличивает шанс критического удара.
"The Vigil was created to fight the dragons. To destroy them, before they destroy us.","«Дозор» был создан для борьбы с драконами. Чтобы уничтожить их, прежде чем они уничтожат нас."
"We're proud that you've chosen to serve alongside us. Your mentor will be Forgal, one of our finest soldiers, and the most stalwart norn I know.","Мы рады, что ты решил служить вместе с нами. Твой наставник — Форгал, один из лучших наших солдат и самый стойкий норн, которого я знаю."
"Striking a stealthed foe triggers Invisible Analysis.<br>Disabling a foe triggers Controlled Analysis.<br><c=@reminder>Disables include stun, daze, knockback, pull, knockdown, sink, float, launch, taunt, and fear.</c>","Атака невидимого противника активирует «Invisible Analysis».<br>Выведение противника из строя активирует «Controlled Analysis».<br><c=@reminder>К способам выведения из строя относятся оглушение, ошеломление, отталкивание, притягивание, нокдаун, погружение, всплытие, отбрасывание, провокация и страх.</c>"
"Missile hits launch a rocket at your target. After enough rockets have been fired, an orbital strike is called instead.<br><c=@reminder>This trait has an internal cooldown.</c>",При попадании ракеты запускается ракета в цель. После достаточного количества выпущенных ракет вместо этого вызывается орбитальный удар.<br><c=@reminder>У этой черты есть внутренний перезаряд.</c>
"<c=@abilitytype>Manipulation.</c> The next utility skill you use has significantly reduced recharge, and Mimic's recharge is increased by the original recharge of the affected skill.<br><c=@reminder>Mimic's recharge cannot be reset by other mesmer skills.</c>","<c=@abilitytype>Манипуляция.</c> Время перезарядки следующего используемого умения значительно сокращается, а время перезарядки «Мимикрии» увеличивается на величину исходного времени перезарядки затронутого умения.<br><c=@reminder>Время перезарядки «Мимикрии» не может быть сброшено другими умениями иллюзиониста.</c>"
Striking a chilled foe grants might and life force.<br><c=@reminder>Single attacks can activate this trait more than once before recharging.</c>,Нанесение удара по замороженному противнику дарует мощь и жизненную силу.<br><c=@reminder>Одиночные атаки могут активировать эту способность несколько раз до перезарядки.</c>
Heal allies when you grant them boons. Grant boons to allies when your upkeep cost is equal to or higher than the threshold.<br><c=@reminder>An ally can only be affected by this skill once per interval.</c>,"Восстанавливайте здоровье союзникам, когда вы накладываете на них благословения. Накладывайте благословения на союзников, когда стоимость поддержания навыка равна или превышает установленное значение.<br><c=@reminder>На одного и того же союзника этим навыком можно воздействовать только один раз за интервал.</c>"
Your first attack after entering shroud transfers conditions.<br><c=@reminder>Only activates if you have conditions.</c>,Ваша первая атака после вступления в Саван передаёт эффекты состояний.<br><c=@reminder>Активируется только при наличии эффектов состояний.</c>
"Weaken your foe with a fierce blow, dealing increased damage when striking a controlled or defiant foe.<br><c=@reminder>Controls include stun, daze, knockback, pull, knockdown, sink, float, launch, taunt, and fear.</c>","Ослабьте врага мощным ударом, нанося увеличенный урон при атаке под контролем или в состоянии вызова.<br><c=@reminder>Контроль включает оглушение, ошеломление, отталкивание, притягивание, нокдаун, погружение, всплытие, отбрасывание, провокацию и страх.</c>"
<c=@abilitytype>Signet Passive:</c> Faster endurance regeneration.<br><c=@abilitytype>Signet Active:</c> Cure all conditions and gain endurance. Gain additional endurance for each condition cured.,<c=@abilitytype>Печать (пассивно):</c> Ускоренная регенерация выносливости.<br><c=@abilitytype>Печать (активно):</c> Снимает все негативные эффекты и восстанавливает выносливость. Восстанавливает дополнительную выносливость за каждый снятый эффект.
