english,translate
A magnificent depiction of the Spirit of Raven.,A magnificent depiction of the Spirit of Raven.
A simple commemoration of a momentous event.,A simple commemoration of a momentous event.
A simple remembrance of a fallen comrade.,A simple remembrance of a fallen comrade.
A simple sign for directing passersby.,A simple sign for directing passersby.
Access the Guild Initiative's central office in Lion's Arch.,Access the Guild Initiative's central office in Lion's Arch.
Add a cloth node to the workshop that randomly generates either jute or wool scraps when harvested.,"Добавить узел ткани в мастерскую, случайным образом генерирующий лоскуты джута или шерсти при сборе."
"Add a free-for-all coordinator to the arena, allowing for teamless brawling.","Добавить координатора «все против всех» на арену, позволяющего бескомандные потасовки."
"Add a green team coordinator to the arena, allowing for three-way team brawling.","Добавить координатора зелёной команды на арену, позволяющего трёхсторонние командные бои."
"Add a guild armorer to the market, from whom basic guild armor skins can be purchased.","Добавить гильдейского бронника на рынок, у которого можно приобрести базовые облики гильдейской брони."
"Add a guild weaponsmith to the market, selling a selection of guild weapon skins.","Добавить гильдейского оружейника на рынок, продающего выбор обликов гильдейского оружия."
Add a leather node to the workshop that randomly generates either rawhide or thin leather when harvested.,"Добавить узел кожи в мастерскую, случайным образом генерирующий сырую или тонкую кожу при сборе."
Add a lumber node to the workshop that randomly generates either green or soft logs when harvested.,"Добавьте в мастерскую узел древесины, который при сборе случайным образом даёт зелёные или мягкие брёвна."
Add a merchant to the market who sells basic decorations for your guild hall.,"Добавьте на рынок торговца, продающего базовые украшения для зала гильдии."
Add a merchant to the market who sells miniatures emblazoned with your guild emblem.,"Добавьте на рынок торговца, продающего миниатюры с инсигнией вашей гильдии."
"Add a minstrel at the tavern who can set an anthem for your guild, which will play at moments of triumph.","Добавьте в таверну менестреля, который может установить гимн для вашей гильдии, звучащий в моменты триумфа."
Add a personal enhancement at the tavern that increases how often you get map bonuses.,"Добавьте в таверну личное улучшение, увеличивающее частоту получения бонусов карты."
Add a personal enhancement at the tavern that increases the chance of finding magic items.,"Добавьте в таверну личное улучшение, увеличивающее шанс найти магические предметы."
Add a personal enhancement at the tavern that increases the chance of getting a critical success when crafting an item.,"Добавьте в таверну личное улучшение, увеличивающее шанс критического успеха при создании предмета."
Add a personal enhancement at the tavern that increases the chance of getting a critical success when harvesting an item.,"Добавьте в таверну личное улучшение, увеличивающее шанс критического успеха при сборе предмета."
Add a personal enhancement at the tavern that increases the rate at which PvP reward tracks progress.,"Добавьте в таверну личное улучшение, увеличивающее скорость продвижения по трекам наград PvP."
Add a personal enhancement at the tavern that increases the rate of WvW reward-track gain.,"Добавьте в таверну личное улучшение, увеличивающее скорость получения треков наград WvW."
Add a personal enhancement at the tavern that increases the rate of WXP gain.,"Добавьте в таверне личное усиление, увеличивающее скорость получения опыта."
"Add a portal device to the guild hall, allowing guild members to quickly travel as a group to missions and other destinations.","Добавьте в зал гильдии портальное устройство, позволяющее членам гильдии быстро перемещаться группой к заданиям и другим местам."
Add a selectable personal enhancement at the tavern which will increase the rate of experience gain.,"Добавьте в таверну выбираемое личное улучшение, которое увеличит скорость получения опыта."
Add a selectable personal enhancement at the tavern which will increases the rate of karma gain.,"Добавьте в таверну выбираемое личное улучшение, которое увеличит скорость получения кармы."
Add a trader merchant to the market whose stock rotates daily. Guild members may purchase only one item each day.,"Добавьте на рынок торговца, чей ассортимент меняется ежедневно. Члены гильдии могут покупать только один предмет в день."
"Add an invulnerability coordinator to the arena, allowing for brawling without taking damage.","Добавьте координатора неуязвимости на арену, позволяющего драться без получения урона."
"Add an obstacles coordinator to the arena, allowing players to enter the arena as a decorator and place walls.","Добавьте координатора препятствий на арену, позволяющего игрокам входить на арену в роли декоратора и размещать стены."
Add an option for the obstacles coordinator to turn on a boundary around the brawling area to prevent ring-outs.,"Добавьте настройку для координатора препятствий, включающую границу вокруг зоны боя, чтобы предотвратить вылет за пределы ринга."
Add an ore node to the workshop that randomly generates either copper or iron when mined.,"Добавьте рудный узел в мастерскую, который при добыче случайным образом даёт либо медь, либо железо."
Add ancient logs as a possible output from the workshop's lumber synthesizer.,Добавьте древние брёвна как возможный результат работы синтезатора древесины в мастерской.
Add coarse leather as a possible output from the workshop's leather synthesizer.,Добавить грубую кожу как возможный результат работы кожевенного синтезатора мастерской.
Add cotton scraps as a possible output from the workshop's cloth synthesizer.,Добавить хлопковые лоскуты как возможный результат работы тканевого синтезатора мастерской.
Add elder logs as a possible output from the workshop's lumber synthesizer.,Добавить старые бревна как возможный результат работы лесного синтезатора мастерской.
Add gold as a possible output from the workshop's ore synthesizer.,Добавить золото как возможный результат работы рудного синтезатора мастерской.
Add gossamer scraps as a possible output from the workshop's cloth synthesizer.,Добавить лоскуты газовой ткани как возможный результат работы тканевого синтезатора мастерской.
Add hard logs as a possible output from the workshop's lumber synthesizer.,Добавить твёрдые бревна как возможный результат работы лесного синтезатора мастерской.
Add hardened leather as a possible output from the workshop's leather synthesizer.,Добавить закаленную кожу как возможный результат работы кожевенного синтезатора мастерской.
"Add harvesting nodes to the workshop that randomly generate various vegetables, fruits, and herbs when harvested.","Добавить в мастерскую узлы сбора, которые при сборе случайным образом дают различные овощи, фрукты и травы."
Add jungle guild armor recipes to the guild armorer's inventory.,Добавить рецепты джунглевого гильдейского оружия в инвентарь гильдейского оружейника.
Add linen scraps as a possible output from the workshop's cloth synthesizer.,Добавить льняные лоскуты как возможный результат работы тканевого синтезатора мастерской.
Add mithril as a possible output from the workshop's ore synthesizer.,Добавить мифрил как возможный результат работы рудного синтезатора мастерской.
Add orichalcum as a possible output from the workshop's ore synthesizer.,Добавить орихалк как возможный результат работы рудного синтезатора мастерской.
Add platinum as a possible output from the workshop's ore synthesizer.,Добавить платину как возможный результат работы рудного синтезатора мастерской.
Add recipes for chiaroscuro weapons to the guild weaponsmith's inventory.,Добавить рецепты оружия кьяроскуро в инвентарь гильдейского кузнеца.
Add rugged leather as a possible output from the workshop's leather synthesizer.,Добавить грубую кожу как возможный результат из синтезатора кожи в мастерской.
Add seasoned logs as a possible output from the workshop's lumber synthesizer.,Добавить выдержанные бревна как возможный результат из синтезатора пиломатериалов в мастерской.
Add silk scraps as a possible output from the workshop's cloth synthesizer.,Добавить шёлковые лоскуты как возможный результат из синтезатора ткани в мастерской.
Add silver as a possible output from the workshop's ore synthesizer.,Добавить серебро как возможный результат из синтезатора руды в мастерской.
Add special decorations that can be inscribed with custom messages to the basic decorations merchant's inventory.,"Добавить особые украшения, на которые можно нанести индивидуальные надписи, в инвентарь торговца базовыми украшениями."
Add thick leather as a possible output from the workshop's leather synthesizer.,Добавить толстую кожу как возможный результат из синтезатора кожи в мастерской.
Adds a +25 power bonus to the boons applied by the guild's aura around claimed objectives.,"Добавляет бонус +25 к силе к благословениям, накладываемым аурой гильдии вокруг захваченных целей."
Adds a +25 precision bonus to the boons applied by the guild's aura around claimed objectives.,"Добавляет бонус +25 к точности к благословениям, накладываемым аурой гильдии вокруг захваченных целей."
Adds a +25 toughness bonus to the boons applied by the guild's aura around claimed objectives.,"Добавляет бонус +25 к стойкости к благословениям, накладываемым аурой гильдии вокруг захваченных целей."
Adds a +25 vitality bonus to the boons applied by the guild's aura around claimed objectives.,"Добавляет бонус +25 к живучести к благословениям, накладываемым аурой гильдии вокруг захваченных целей."
Adds a 10%% WvW experience bonus to the boons applied by the guild's aura around claimed objectives.,"Добавляет бонус к опыту WvW в размере 10%% к благословениям, накладываемым аурой гильдии вокруг захваченных целей."
Adds a 20%% magic-find bonus to the boons applies by the guild's aura around claimed objectives.,"Добавляет бонус к поиску магии в размере 20%% к благословениям, накладываемым аурой гильдии вокруг захваченных целей."
Adds a 25%% movement speed bonus to the boons applied by the guild's aura around claimed objectives.,"Добавляет бонус к скорости передвижения в размере 25%% к благословениям, накладываемым аурой гильдии вокруг захваченных целей."
Adds a merchant with harvesting and salvage tools to the guild's private locations.,Добавляет торговца с инструментами для сбора и разбора в частные локации гильдии.
"Adds a repair anvil to the Guild Initiative Headquarters and the guild's hall, if they have one.","Добавляет наковальню для ремонта в штаб Гильдии и зал гильдии, если он есть."
Aetherium Capacity 1,Aetherium Capacity 1
Aetherium Capacity 2,Aetherium Capacity 2
Aetherium Capacity 3,Aetherium Capacity 3
Aetherium Capacity 4,Aetherium Capacity 4
Aetherium Capacity 5,Aetherium Capacity 5
Aetherium Capacity 6,Aetherium Capacity 6
Airship Defense,Airship Defense
Allow access to this proprietor's upgrades and set up a temporary structure in the guild hall while work begins on restoring your full tavern.,"Разрешить доступ к улучшениям этого владельца и установить временное сооружение в гильд-холле, пока не начнутся работы по восстановлению полной таверны."
Allow decorators in the arena to place fans that cyclically activate and push combatants back with strong gusts of wind.,"Разрешить декораторам на арене размещать вентиляторы, которые циклически активируются и отбрасывают бойцов сильными порывами ветра."
Allow decorators in the arena to place floor tiles that will kill players on contact.,"Разрешить декораторам на арене размещать напольные плиты, которые убивают игроков при контакте."
"Allow decorators in the arena to place purple torches, which can be lit and unlit at will.","Разрешить декораторам на арене размещать фиолетовые факелы, которые можно зажигать и тушить по желанию."
"Allow decorators in the arena to place torches in the red, blue, and green team colors. These torches can be lit and unlit at will.","Разрешить декораторам на арене размещать факелы цветов красной, синей и зелёной команд. Эти факелы можно зажигать и тушить по желанию."
